field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;12wcwqu2liyd0zv8ramcevh1w;1;70;2;8o8m08he36u0j4w08aj2iodn8;ezmpkwr3ho4lf1c0zk3tezehg;away;1;GK;P. Los;;;;;;
2;710y645hepag4if4rm3gggjdg;2;56;2;8o8m08he36u0j4w08aj2iodn8;ezmpkwr3ho4lf1c0zk3tezehg;away;1;DR;B. Richards;;;;2atsox1bassuexlgta8h3us4p;45,0;2,0
2;9vc2mynd9lg2oyt14n4e7a44q;3;54;2;8o8m08he36u0j4w08aj2iodn8;ezmpkwr3ho4lf1c0zk3tezehg;away;1;DC;L. Rochester;;;;;;
3;4ycsifqidpgttuanylwsyts7o;4;66;2;8o8m08he36u0j4w08aj2iodn8;ezmpkwr3ho4lf1c0zk3tezehg;away;1;MC;C. Nagle;;;;;;
2;5d341k1dxhlbetyh965z3q784;5;43;2;8o8m08he36u0j4w08aj2iodn8;ezmpkwr3ho4lf1c0zk3tezehg;away;1;DL;J. Shannon;;;;;;
2;84oe7sbhy91b5xvbo2w28i7f8;6;41;2;8o8m08he36u0j4w08aj2iodn8;ezmpkwr3ho4lf1c0zk3tezehg;away;1;DC;J. Diouf;;;;;;
3;38p90lsdc5iv1jvjbhiinv6ne;7;37;2;8o8m08he36u0j4w08aj2iodn8;ezmpkwr3ho4lf1c0zk3tezehg;away;1;MR;J. Casas;;;;;;
3;afdz1ibldn2vc8gtezyw8tqay;8;45;2;8o8m08he36u0j4w08aj2iodn8;ezmpkwr3ho4lf1c0zk3tezehg;away;1;MC;H. Osorio;;;;6n0x8t513vmsmgfasovvoj7u2;59,0;2,0
4;b1p6qcv8wjzoxoax3nt13n5gq;9;48;2;8o8m08he36u0j4w08aj2iodn8;ezmpkwr3ho4lf1c0zk3tezehg;away;1;FW;D. Poręba;;;;;;
4;79knhnp7bvpjomzz14k715wtm;10;55;2;8o8m08he36u0j4w08aj2iodn8;ezmpkwr3ho4lf1c0zk3tezehg;away;1;FW;O. Glasgow;;;;;;
3;64wbk2nsrs0ru0hjcq0lenwgk;11;35;2;8o8m08he36u0j4w08aj2iodn8;ezmpkwr3ho4lf1c0zk3tezehg;away;1;ML;S. Oregel;;;;4agnpztnedb7ql14bo477vspg;79,0;2,0
5;4uybjezp5gdqpvkwp8qsdxrf8;0;80;2;8o8m08he36u0j4w08aj2iodn8;ezmpkwr3ho4lf1c0zk3tezehg;away;1;Sub;;;;;;;
