field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;aiifscgp07zvj7thb3p3huelm;1;31;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;GK;G. Marks;;;;;;
2;ds4avrkvrp4jxq9lp02ssci22;2;35;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;DR;N. Scardina;;;;;;
2;3xd2kq7cxmvdbqsfzgi644c4q;3;44;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;DC;J. Bravo;;;;;;
3;avxfzgoe2y0opif75qu3aeb6c;4;43;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;MC;W. Sangoquiza;;;;doqbp8fg8hke6hhifdr4jzklw;68,0;2,0
2;exk9svcdgcbn05ms00fhorvv8;5;39;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;DL;J. Neeley;;;;;;
2;9b29l83qhedv79h20lgyu9tqt;6;6;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;DC;B. Tuiloma;;;;7nvpvg46tgsnyp31t3se72e0a;80,0;2,0
3;4ywn289r9mrs444sgkgduyivo;7;25;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;MR;T. Smalls;;;;7bxp7ho4cmsoviw19q4bxr02c;45,0;2,0
3;3ve0xap9f0gjsslhgjsmakx04;8;48;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;MC;A. John;;;;;;
4;4dri4lv9b4w3mz8aj3329qjh0;9;17;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;FW;I. Toklomati;;;;f12wt1v2qf2siv8p6q6x2bxuc;61,0;2,0
4;66bdf9l614g2dx43x8003m162;10;23;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;FW;N. Petković;;;;9qhpi9y9iujvkbocafhgrj04q;62,0;2,0
3;9ohy24mxhsqao5kymh0lbxxck;11;27;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;ML;N. Berchimas;;;;;;
5;7bxp7ho4cmsoviw19q4bxr02c;0;41;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;Sub;B. Romero;4ywn289r9mrs444sgkgduyivo;45,0;2,0;;;
5;9qhpi9y9iujvkbocafhgrj04q;0;60;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;Sub;C. Duke;66bdf9l614g2dx43x8003m162;62,0;2,0;;;
5;7nvpvg46tgsnyp31t3se72e0a;0;64;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;Sub;J. Nyandjo;9b29l83qhedv79h20lgyu9tqt;80,0;2,0;;;
5;doqbp8fg8hke6hhifdr4jzklw;0;56;2;6ubc4y1v6hr63mca7ica4hp90;f0r4fj69c7pmpqz14p5gzkzys;home;1;Sub;E. Peña;avxfzgoe2y0opif75qu3aeb6c;68,0;2,0;;;
