id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_PlayerPosition;value_JerseyNumber;value_TeamPlayerFormation;value_TeamKit;value_Involved;value_Resume;value_Captain;value_DirectionOfPlay;value_PassEndY;value_Zone;value_PassEndX;value_Angle;value_KickOff;value_Length;value_Chipped;value_TouchTypeClearance;value_HeadPass;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Offensive;value_BlockedPass;value_Defensive;value_Left;value_Assist;value_InSwinger;value_IntentionalAssist;value_CornerTaken;value_RightFooted;value_Cross;value_SmallBoxLeft;value_Volley;value_FirstTouch;value_BlockedX;value_FromCorner;value_BlockedY;value_SixYardBlocked;value_RelatedEventId;value_Assisted;value_GkX;value_GkY;value_GoalmouthY;value_GoalmouthZ;value_LowLeft;value_Blocked;value_DefBlock;value_RegularPlay;value_BoxCentre;value_LowRight;value_LongBall;value_Head;value_OutSwinger;value_TakeOnOvertake;value_Launch;value_NextEventGoalKick;value_GoalKick;value_Low;value_OutOfPlay;value_TouchTypeControl;value_PlayersCaughtOffside;value_Indirect;value_FreeKickTaken;value_LayOff;value_IntendedTackleTarget;value_DeletedEventType;value_TouchTypePass;value_LeftFooted;value_TakeOnSpace;value_Overrun;value_PullBack;value_FantasyAssistType;value_GkXTimeOfGoal;value_IndividualPlay;value_GkYTimeOfGoal;value_FantasyAssistId;value_GoalShotTimestamp;value_NotAssisted;value_GoalShotGameClock;value_FantasyAssistedBy;value_FantasyAssistTeam;value_AttemptedTackle;value_Foul;value_Direct;value_ThroughBall;value_LowCentre;value_BigChance;value_Straight;value_DrivenCross;value_Right;value_NotPastGoalLine;value_FlickOn;value_ParriedDanger;value_Diving;value_LowGkIntervention;value_Feet;value_HighLeft;value_MisHit;value_BoxLeft;value_ParriedSafe;value_BoxRight;value_ShirtPull/Holding;value_TacticalFoul;value_YellowCard;value_CloseLeft;value_High;value_OutOfBoxCentre;value_RefereeDelay;value_DrinksBreak;value_SwitchOfPlay;value_FastBreak;value_MediumGkIntervention;value_Hands;value_Caught;value_Standing;value_NotVisible;value_GkKickFromHands;value_BlockedCross;value_HighGkIntervention;value_Defensive1V1;value_Shove/Push;value_ThrowInSetPiece;value_SmallBoxCentre;value_Minutes;value_VideoCoverageLost;value_KeeperThrow;value_EndType;value_HighClaim;value_AerialFoul;value_CloseHigh;value_CloseRight;value_Handball;value_Tap;value_Tactical;value_FormationSlot;value_DetailedPositionId;value_PositionSideId;value_RecklessOffence;value_AdvantagePlayed;value_OverArm;value_GoalDisallowed;value_NotRetreating;value_Injury;value_InjuredPlayerId;value_FreeKick;value_HighRight;value_Deflection;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_Penalty;value_Scored;value_Saved;value_Stooping;value_FoulAndAbusiveLanguage;value_RedCard;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2716750885;1;34;16;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-09-01T21:25:03.001Z;2024-09-01T22:03:53Z;[{'id': 5191419769, 'qualifierId': 130, 'value': '13'}, {'id': 5191419765, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5191419767, 'qualifierId': 59, 'value': '13, 45, 49, 5, 12, 2, 8, 16, 18, 17, 10, 11, 20, 43, 9, 22, 7, 27'}, {'id': 5191419771, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191544945, 'qualifierId': 197, 'value': '14908'}, {'id': 5191419763, 'qualifierId': 30, 'value': '9bn2zid7u305xii6alm8a58us, a12t1zv0y8gzzf6p3jrotkoic, 4nvz6yrxluelbpsjavcjtgnx0, ba9m1xd2b3b2zvuuogn4uxkwk, bezle40rjwnkdskjbf9yg4sq2, cc7auv8d89ohifqg7qwz62mwa, 8warl67c0id3dorr48mn7h82c, dyv4gls8evw1fkei1zofev21g, dgosg1mymhuajg0rz2ts6alpm, 58w3qcq1xrkpq5f9miuxp4ys4, 37zynr7fwzqg4c9w5ydefywyy, 79606fy6lyfs1h12645q4shzo, 9jy9vyn7y1bomsbjhjujynb4k, 290iohuheoqdrdocbg25ipgk4, xxu2xv2n6f5d51ksa8z4rv2s, 3me8mlpj9tgn82v2mwyibpkb8, 3gtqm8npkg5prbfnvqxq92dm2, e1jku8gmpckc900s9y6z1gn4k'}, {'id': 5191419773, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}];;;;;f1hzu1b378wwqohud207tkftg;Team set up;13,0;;;;14908,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;;0;0;0;New York City II;0;;
2716751761;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-09-01T21:26:57.972Z;2024-09-01T23:27:40Z;[{'id': 5191424383, 'qualifierId': 130, 'value': '4'}, {'id': 5191789053, 'qualifierId': 194, 'value': '1d20nyyvmp0doobj6heejkowk'}, {'id': 5191424385, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191424379, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5191424387, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5191424377, 'qualifierId': 30, 'value': 'bn7qfn71x24fjl5d8t4p97kve, 6sf0pdlzomnt3e1hlc4twyv4k, 4k6c9nnzytq9qhc9uol64wg7o, 1d20nyyvmp0doobj6heejkowk, bug5x187ehj0apzl11lrl3ip6, eiyzqnfh8r8aduel0seou7nu2, 2676930j149yvanqev61emh62, duj699i9620tuf3ii9z06bqsq, a0do5kh5akr89kst2p1hohixg, 1p4rbf4wumfagv2ntlewdxey, 1cfm4ne1po0mld4bl37deg36c, 3o4uxnvpnf3cwjs3srwegxp90, 3mq1g1pyo3flkaorg9wqmfhuc, eq98gflais2v26wgbkw9wrxg4, 3ei1s8oyub83owfxxbsygmsmi, 5bjavs7mhqjh1tlrfp4vj7od0, 4h2k5kwclhlgjk2koqin5r2fo, 1ni0mewxcbo26d1xxetkdy3ca, 2s085s5fgmzsmf7oup7aekm0a'}, {'id': 5191424381, 'qualifierId': 59, 'value': '44, 38, 37, 99, 2, 31, 70, 42, 83, 74, 32, 75, 50, 47, 77, 81, 64, 63, 57'}, {'id': 5191544977, 'qualifierId': 197, 'value': '23611'}];;;;;f1hzu1b378wwqohud207tkftg;Team set up;4,0;;;;23611,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2716773669;2;32;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;0,0;0,0;2024-09-01T22:03:58.159Z;2024-09-05T05:12:35Z;[{'id': 5191545181, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;f1hzu1b378wwqohud207tkftg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;;;;;;;;;;0;0;0;New York City II;0;;
2716773655;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-09-01T22:03:58.159Z;2024-09-01T22:03:58Z;[{'id': 5191545107, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;f1hzu1b378wwqohud207tkftg;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;away;;;;;;;;;;0;0;0;Columbus Crew II;0;;
2716773677;3;1;1;0;0;5b4ccd62yeeqdl2qk6jzsmjv8;1;50,0;50,0;2024-09-01T22:03:58.552Z;2024-09-01T22:04:02Z;[{'id': 5191545209, 'qualifierId': 141, 'value': '48.0'}, {'id': 5191545205, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191545207, 'qualifierId': 140, 'value': '39.1'}, {'id': 5191545213, 'qualifierId': 213, 'value': '3.26'}, {'id': 5191545215, 'qualifierId': 279, 'value': 'S'}, {'id': 5191545211, 'qualifierId': 212, 'value': '11.5'}];dgosg1mymhuajg0rz2ts6alpm;G. Rayo;;;f1hzu1b378wwqohud207tkftg;Pass;;;;;;;;;;48,0;;39,1;3,26;;11,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;39,1;48,0;;;;;;;;0;0;0;New York City II;0;FW;1,0
2716773727;4;1;1;0;3;5b4ccd62yeeqdl2qk6jzsmjv8;1;39,1;48,0;2024-09-01T22:04:01.471Z;2024-09-01T22:04:03Z;[{'id': 5191545459, 'qualifierId': 212, 'value': '10.4'}, {'id': 5191545455, 'qualifierId': 141, 'value': '32.9'}, {'id': 5191545451, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191545461, 'qualifierId': 213, 'value': '4.55'}, {'id': 5191545453, 'qualifierId': 140, 'value': '37.5'}];8warl67c0id3dorr48mn7h82c;G. De Libera;;;f1hzu1b378wwqohud207tkftg;Pass;;;;;;;;;;32,9;;37,5;4,55;;10,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;37,5;32,9;;;;;;;;0;0;3;New York City II;3;MC;1,0
2716773751;5;1;1;0;5;5b4ccd62yeeqdl2qk6jzsmjv8;1;37,5;32,9;2024-09-01T22:04:03.807Z;2024-09-01T22:04:06Z;[{'id': 5191545583, 'qualifierId': 212, 'value': '17.1'}, {'id': 5191545581, 'qualifierId': 141, 'value': '50.4'}, {'id': 5191545577, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191545585, 'qualifierId': 213, 'value': '2.37'}, {'id': 5191545579, 'qualifierId': 140, 'value': '25.8'}];a12t1zv0y8gzzf6p3jrotkoic;O. Presthus;;;f1hzu1b378wwqohud207tkftg;Pass;;;;;;;;;;50,4;;25,8;2,37;;17,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;25,8;50,4;;;;;;;;0;0;5;New York City II;5;DMR;1,0
2716773775;6;1;1;0;7;5b4ccd62yeeqdl2qk6jzsmjv8;1;25,8;50,4;2024-09-01T22:04:05.903Z;2024-09-01T22:04:08Z;[{'id': 5191545683, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191545687, 'qualifierId': 141, 'value': '35.2'}, {'id': 5191545685, 'qualifierId': 140, 'value': '40.7'}, {'id': 5191545691, 'qualifierId': 213, 'value': '5.70'}, {'id': 5191545689, 'qualifierId': 212, 'value': '18.8'}];bezle40rjwnkdskjbf9yg4sq2;X. Zengue;;;f1hzu1b378wwqohud207tkftg;Pass;;;;;;;;;;35,2;;40,7;5,7;;18,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;40,7;35,2;;;;;;;;0;0;7;New York City II;7;DC;1,0
2716773787;7;1;1;0;10;5b4ccd62yeeqdl2qk6jzsmjv8;1;40,7;35,2;2024-09-01T22:04:08.159Z;2024-09-01T22:04:08Z;[{'id': 5191545733, 'qualifierId': 212, 'value': '8.4'}, {'id': 5191545735, 'qualifierId': 213, 'value': '2.73'}, {'id': 5191545729, 'qualifierId': 140, 'value': '33.4'}, {'id': 5191545727, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191545731, 'qualifierId': 141, 'value': '40.1'}];4nvz6yrxluelbpsjavcjtgnx0;T. Brown;;;f1hzu1b378wwqohud207tkftg;Pass;;;;;;;;;;40,1;;33,4;2,73;;8,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;33,4;40,1;;;;;;;;0;0;10;New York City II;10;DML;1,0
2716773839;8;1;1;0;10;5b4ccd62yeeqdl2qk6jzsmjv8;1;33,4;40,1;2024-09-01T22:04:08.735Z;2024-09-01T22:04:12Z;[{'id': 5191545955, 'qualifierId': 141, 'value': '46.2'}, {'id': 5191545959, 'qualifierId': 213, 'value': '0.27'}, {'id': 5191545951, 'qualifierId': 56, 'value': 'Back'}, {'id': 5191545953, 'qualifierId': 140, 'value': '47.6'}, {'id': 5191545957, 'qualifierId': 212, 'value': '15.5'}];8warl67c0id3dorr48mn7h82c;G. De Libera;;;f1hzu1b378wwqohud207tkftg;Pass;;;;;;;;;;46,2;;47,6;0,27;;15,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5b4ccd62yeeqdl2qk6jzsmjv8;Columbus Crew II;home;47,6;46,2;;;;;;;;0;0;10;New York City II;10;MC;1,0
