field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;81a5mbcfvbxke0w3cbq65ld2i;1;1;4;d0c07im4a6oj8qa7f1zlt3pqs;f3d45kvur76bbj9ergh1luplg;away;1;GK;M. Alstrup;;;;;;
2;8ly83pm2mbtz4u7jwsv0o96qy;2;2;4;d0c07im4a6oj8qa7f1zlt3pqs;f3d45kvur76bbj9ergh1luplg;away;1;DR;C. Touré;;;;;;
2;9nlw8tihbzfnvkt5uproa79jo;3;3;4;d0c07im4a6oj8qa7f1zlt3pqs;f3d45kvur76bbj9ergh1luplg;away;1;DC;Rubén Bonachera;;;;;;
3;2yxzh220ndd4s4wqditruo0h6;4;6;4;d0c07im4a6oj8qa7f1zlt3pqs;f3d45kvur76bbj9ergh1luplg;away;1;MC;A. Ramírez;;;;7nxqbiq6fics5w3qnwhz249as;73,0;2,0
2;7u1lf62rqlgzban2dwy6c1rmc;5;14;4;d0c07im4a6oj8qa7f1zlt3pqs;f3d45kvur76bbj9ergh1luplg;away;1;DL;Nico van Rijn;;;;;;
2;d0riqrsz7ojwb9m94rbvx7r6y;6;5;4;d0c07im4a6oj8qa7f1zlt3pqs;f3d45kvur76bbj9ergh1luplg;away;1;DC;S. Mazzaferro;;;;;;
3;ov91zkisppven9tp72gfbjf8;7;18;4;d0c07im4a6oj8qa7f1zlt3pqs;f3d45kvur76bbj9ergh1luplg;away;1;MC;B. Byaruhanga;;;;;;
3;7m5wyvhq876dyap45egqs2tjo;8;30;4;d0c07im4a6oj8qa7f1zlt3pqs;f3d45kvur76bbj9ergh1luplg;away;1;MC;E. Torres;;;;ec3xdenc4ncg4sc8ni4kkyln8;56,0;2,0
4;elvrjpt1jlko4henaqvfid7o4;9;32;4;d0c07im4a6oj8qa7f1zlt3pqs;f3d45kvur76bbj9ergh1luplg;away;1;FW;M. Burton;;;;4wgjayv8s85dueh5l88im6lwq;73,0;2,0
4;4o2lk5bkmyxe8ji3lqjo69qtw;10;77;4;d0c07im4a6oj8qa7f1zlt3pqs;f3d45kvur76bbj9ergh1luplg;away;1;FWR;D. Abarca;;;;9yldym4386a2icfk6qb6i90r8;56,0;2,0
