id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_TeamKit;value_JerseyNumber;value_Captain;value_Resume;value_PlayerPosition;value_TeamPlayerFormation;value_Involved;value_DirectionOfPlay;value_Zone;value_LongBall;value_PassEndY;value_Angle;value_KickOff;value_Length;value_PassEndX;value_Launch;value_OppositeRelatedEventId;value_Defensive;value_Offensive;value_HeadPass;value_IntendedTackleTarget;value_DeletedEventType;value_TakeOnSpace;value_TouchTypeControl;value_Direct;value_Foul;value_ShirtPull/Holding;value_FreeKickTaken;value_TouchTypePass;value_TouchTypeClearance;value_OutOfPlay;value_NextEventThrowIn;value_ThrowIn;value_BlockedPass;value_Chipped;value_Overrun;value_LayOff;value_NextEventGoalKick;value_Low;value_GoalKick;value_IntentionalAssist;value_Assist;value_GoalmouthY;value_Blocked;value_GkX;value_GoalmouthZ;value_GkY;value_BoxLeft;value_RegularPlay;value_FirstTouch;value_RelatedEventId;value_RightFooted;value_LowLeft;value_BlockedX;value_BlockedY;value_Assisted;value_DefBlock;value_LowGkIntervention;value_KeeperThrow;value_Left;value_Right;value_OutSwinger;value_CornerTaken;value_Cross;value_LeftFooted;value_OutOfBoxCentre;value_IndividualPlay;value_FromCorner;value_LowCentre;value_BoxCentre;value_Collected;value_Stooping;value_Hands;value_NotVisible;value_Head;value_PlayersCaughtOffside;value_Indirect;value_OverArm;value_InSwinger;value_AttemptedTackle;value_Defensive1V1;value_GoalShotGameClock;value_GkYTimeOfGoal;value_BigChance;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_FlickOn;value_SwitchOfPlay;value_SmallBoxRight;value_ParriedDanger;value_SmallBoxCentre;value_NotAssisted;value_MediumGkIntervention;value_PullBack;value_OverhitCross;value_GkKickFromHands;value_BoxDeepLeft;value_SixYardBlocked;value_TakeOnOvertake;value_YellowCard;value_AdvantagePlayed;value_RecklessOffence;value_SetPiece;value_High;value_BoxRight;value_OutOfBoxDeepLeft;value_FreeKick;value_Minutes;value_CloseHigh;value_EndType;value_HighGkIntervention;value_Injury;value_InjuredPlayerId;value_Shove/Push;value_TacticalFoul;value_LowRight;value_HighRight;value_Feet;value_ParriedSafe;value_Tactical;value_DetailedPositionId;value_FormationSlot;value_PositionSideId;value_BlockedCross;value_SwerveLeft;value_NotRetreating;value_ThroughBall;value_Volley;value_Obstruction;value_Argument;value_HighLeft;value_OtherObstacle;value_NotPastGoalLine;value_FantasyAssistedBy;value_OwnGoal;value_FantasyAssistId;value_FantasyAssistType;value_FantasyAssistTeam;value_Diving;value_GoesToPenalties;value_Second(2Nd)OppositeRelatedEventId;value_Penalty;value_Scored;value_TempShotOn;value_Saved;value_Missed;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2717917343;1;34;16;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-09-06T20:13:51.128Z;2024-09-10T09:50:45Z;[{'id': 5197911337, 'qualifierId': 130, 'value': '8'}, {'id': 5198015517, 'qualifierId': 197, 'value': '23611'}, {'id': 5197911331, 'qualifierId': 59, 'value': '1, 81, 37, 42, 2, 31, 74, 70, 83, 99, 64, 75, 50, 47, 77, 71, 36, 63, 57, 82'}, {'id': 5198015515, 'qualifierId': 194, 'value': '1d20nyyvmp0doobj6heejkowk'}, {'id': 5197911343, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5197911327, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5197911341, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5197911325, 'qualifierId': 30, 'value': 'd7efidcaz053ml8l4h19i7fmx, 5bjavs7mhqjh1tlrfp4vj7od0, 4k6c9nnzytq9qhc9uol64wg7o, duj699i9620tuf3ii9z06bqsq, bug5x187ehj0apzl11lrl3ip6, eiyzqnfh8r8aduel0seou7nu2, 1p4rbf4wumfagv2ntlewdxey, 2676930j149yvanqev61emh62, a0do5kh5akr89kst2p1hohixg, 1d20nyyvmp0doobj6heejkowk, 4h2k5kwclhlgjk2koqin5r2fo, 3o4uxnvpnf3cwjs3srwegxp90, 3mq1g1pyo3flkaorg9wqmfhuc, eq98gflais2v26wgbkw9wrxg4, 3ei1s8oyub83owfxxbsygmsmi, 4k74l9hy67ve3o9fhd7rqybro, 7kgd3h3ch4ww875mhr98afims, 1ni0mewxcbo26d1xxetkdy3ca, 2s085s5fgmzsmf7oup7aekm0a, 6iyzwnkqmciry30i4skhh1bmc'}];;;;;f3qnsnvpm43xj0644j2qikyl0;Team set up;8,0;23611,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;0;Atlanta United II;0;;
2717919139;1;34;16;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-09-06T20:16:59.087Z;2024-09-06T21:07:20Z;[{'id': 5197921285, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5198015605, 'qualifierId': 197, 'value': '4451'}, {'id': 5197921281, 'qualifierId': 130, 'value': '8'}, {'id': 5197921277, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5'}, {'id': 5197921283, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5197921279, 'qualifierId': 59, 'value': '42, 47, 50, 41, 24, 21, 25, 86, 28, 30, 20, 99, 51, 38, 55, 36, 43'}, {'id': 5197921275, 'qualifierId': 30, 'value': 'f1e7n1pmjklbr35g7uuqdr78q, 5c7gqtyra887hjyg502tvzn1m, f69xf0cdfn1qe63t5tr5in10, astn4ytzoaav30ifi17s4dn8, d3gmzmf34c6o8vzngnf7ishlg, 8pzkxfe5txe71u08n67d8k1uy, a63su8pudaernrvj1fi9006qc, d5kcfgycj51y6aw82r38sl7o4, ah3swx80hoddr239t1r6qg2ga, 1b9b97pxox77ia41cilqqm4iy, 3vlv0gwh5fgwri12fkn4k2stm, eg5gobm8zylt21enud00dfnmy, a0wpfy3ac4q8lwyiwvlj6m590, 3lafo3mzfkp2kmf2fj8d6lnv8, 7y5v3oex0pnupaahm8arguluc, 3uzxhd8g0jnft5xcd59yztm95, 5zeta56pml2qki1q095myhvys'}, {'id': 5198015521, 'qualifierId': 194, 'value': 'd5kcfgycj51y6aw82r38sl7o4'}];;;;;f3qnsnvpm43xj0644j2qikyl0;Team set up;8,0;4451,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;0;New York City II;0;;
2717936077;2;32;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;0,0;0,0;2024-09-06T21:09:33.859Z;2024-09-06T21:09:34Z;[{'id': 5198017037, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;f3qnsnvpm43xj0644j2qikyl0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;0;New York City II;0;;
2717936081;2;32;1;0;0;6ddsx316t3j0z6nolrky9k4r8;1;0,0;0,0;2024-09-06T21:09:33.859Z;2024-09-10T03:00:41Z;[{'id': 5198017045, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;f3qnsnvpm43xj0644j2qikyl0;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;0;Atlanta United II;0;;
2717936103;3;1;1;0;0;erwnez7ksfkns4dqmyr1fhbe;1;49,9;50,1;2024-09-06T21:09:33.860Z;2024-09-06T21:09:43Z;[{'id': 5198017183, 'qualifierId': 56, 'value': 'Back'}, {'id': 5198017193, 'qualifierId': 1}, {'id': 5198017187, 'qualifierId': 141, 'value': '50.0'}, {'id': 5198017191, 'qualifierId': 213, 'value': '3.14'}, {'id': 5198017195, 'qualifierId': 279, 'value': 'S'}, {'id': 5198017189, 'qualifierId': 212, 'value': '33.0'}, {'id': 5198017185, 'qualifierId': 140, 'value': '18.5'}];ah3swx80hoddr239t1r6qg2ga;T. Wolff;;;f3qnsnvpm43xj0644j2qikyl0;Pass;;;;;;;;;;;1,0;50,0;3,14;;33,0;18,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;18,5;50,0;;;;;;;;0;0;0;New York City II;0;FW;1,0
2717936117;4;1;1;0;9;erwnez7ksfkns4dqmyr1fhbe;0;29,6;49,4;2024-09-06T21:09:43.017Z;2024-09-06T21:09:47Z;[{'id': 5198017267, 'qualifierId': 213, 'value': '0.33'}, {'id': 5198017269, 'qualifierId': 1}, {'id': 5198017261, 'qualifierId': 140, 'value': '68.1'}, {'id': 5198017265, 'qualifierId': 212, 'value': '42.7'}, {'id': 5198017257, 'qualifierId': 157}, {'id': 5198017263, 'qualifierId': 141, 'value': '69.5'}, {'id': 5198017259, 'qualifierId': 56, 'value': 'Center'}];f1e7n1pmjklbr35g7uuqdr78q;J. Hibbert;;;f3qnsnvpm43xj0644j2qikyl0;Pass;;;;;;;;;;;1,0;69,5;0,33;;42,7;68,1;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;68,1;69,5;;;;;;;;0;0;9;New York City II;9;GK;1,0
2717936123;3;44;1;0;12;6ddsx316t3j0z6nolrky9k4r8;1;31,4;35,7;2024-09-06T21:09:45.904Z;2024-09-06T22:05:53Z;[{'id': 5198017281, 'qualifierId': 233, 'value': '5'}, {'id': 5198017279, 'qualifierId': 285}, {'id': 5198017277, 'qualifierId': 56, 'value': 'Back'}];2676930j149yvanqev61emh62;J. Rozhansky;;;f3qnsnvpm43xj0644j2qikyl0;Aerial;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;;;;;;;;;;0;0;12;Atlanta United II;12;MC;1,0
2717936119;5;44;1;0;12;erwnez7ksfkns4dqmyr1fhbe;0;68,6;64,3;2024-09-06T21:09:45.905Z;2024-09-06T21:58:48Z;[{'id': 5198017275, 'qualifierId': 286}, {'id': 5198017285, 'qualifierId': 233, 'value': '3'}, {'id': 5198017273, 'qualifierId': 56, 'value': 'Center'}];1b9b97pxox77ia41cilqqm4iy;Nick Firmino;;;f3qnsnvpm43xj0644j2qikyl0;Aerial;;;;;;;;;;;;;;;;;;3,0;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;;;;;;;;;;0;0;12;New York City II;12;AMC;1,0
2717936127;4;1;1;0;12;6ddsx316t3j0z6nolrky9k4r8;0;30,7;44,3;2024-09-06T21:09:46.336Z;2024-09-10T09:04:40Z;[{'id': 5198017305, 'qualifierId': 3}, {'id': 5198017313, 'qualifierId': 212, 'value': '4.7'}, {'id': 5198017309, 'qualifierId': 140, 'value': '35.2'}, {'id': 5198017311, 'qualifierId': 141, 'value': '44.3'}, {'id': 5198017307, 'qualifierId': 56, 'value': 'Back'}, {'id': 5198017315, 'qualifierId': 213, 'value': '0.00'}];2676930j149yvanqev61emh62;J. Rozhansky;;;f3qnsnvpm43xj0644j2qikyl0;Pass;;;;;;;;;;;;44,3;0,0;;4,7;35,2;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6ddsx316t3j0z6nolrky9k4r8;New York City II;home;35,2;44,3;;;;;;;;0;0;12;Atlanta United II;12;MC;1,0
2717941187;365;1;1;0;14;erwnez7ksfkns4dqmyr1fhbe;1;59,9;69,2;2024-09-06T21:09:47.859Z;2024-09-06T22:06:35Z;[{'id': 5198046617, 'qualifierId': 3}, {'id': 5198046625, 'qualifierId': 212, 'value': '6.4'}, {'id': 5198046621, 'qualifierId': 140, 'value': '65.0'}, {'id': 5198046619, 'qualifierId': 56, 'value': 'Center'}, {'id': 5198046627, 'qualifierId': 213, 'value': '0.58'}, {'id': 5198046623, 'qualifierId': 141, 'value': '74.4'}];d5kcfgycj51y6aw82r38sl7o4;Javier Armas;;;f3qnsnvpm43xj0644j2qikyl0;Pass;;;;;;;;;;;;74,4;0,58;;6,4;65,0;;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;erwnez7ksfkns4dqmyr1fhbe;Atlanta United II;away;65,0;74,4;;;;;;;;0;0;14;New York City II;14;MC;1,0
