id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamFormation;value_PlayerPosition;value_Captain;value_Resume;value_Involved;value_TeamPlayerFormation;value_JerseyNumber;value_TeamKit;value_DirectionOfPlay;value_Angle;value_NotVisible;value_Zone;value_PassEndX;value_KickOff;value_Length;value_PassEndY;value_LongBall;value_Chipped;value_OppositeRelatedEventId;value_NextEventThrowIn;value_ThrowIn;value_FlickOn;value_HeadPass;value_Defensive;value_Offensive;value_Direct;value_Foul;value_Shove/Push;value_FreeKickTaken;value_TakeOnSpace;value_TouchTypeControl;value_Launch;value_Assist;value_IntentionalAssist;value_Assisted;value_BlockedY;value_GoalmouthY;value_BoxRight;value_BlockedX;value_GoalmouthZ;value_RegularPlay;value_RelatedEventId;value_LowLeft;value_RightFooted;value_Diving;value_Hands;value_Collected;value_LowGkIntervention;value_SwitchOfPlay;value_TakeOnOvertake;value_BoxCentre;value_LowRight;value_KeeperThrow;value_TouchTypePass;value_IntendedTackleTarget;value_Straight;value_Cross;value_DrivenCross;value_OverArm;value_DeletedEventType;value_LayOff;value_BlockedPass;value_GkX;value_GkY;value_GkYTimeOfGoal;value_GoalShotGameClock;value_LeftFooted;value_BigChance;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_1On1;value_NextEventGoalKick;value_GoalKick;value_High;value_TouchTypeClearance;value_OutOfPlay;value_OutSwinger;value_OverhitCross;value_HighGkIntervention;value_VideoCoverageLost;value_Injury;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_Left;value_Right;value_CornerTaken;value_InSwinger;value_Head;value_FromCorner;value_FirstTouch;value_Low;value_ShirtPull/Holding;value_NotAssisted;value_MediumGkIntervention;value_ParriedSafe;value_AttemptedTackle;value_IndividualPlay;value_LowCentre;value_BoxDeepRight;value_Feet;value_Standing;value_SixYardBlocked;value_Blocked;value_DefBlock;value_BlockedCross;value_CloseLeft;value_BoxLeft;value_Volley;value_PullBack;value_PlayersCaughtOffside;value_Indirect;value_OutOfBoxCentre;value_CloseRightAndHigh;value_KeeperTouched;value_YellowCard;value_NotRetreating;value_Minutes;value_EndType;value_Tactical;value_CloseRight;value_Overrun;value_LeadingToGoal;value_FollowsADribble;value_TacticalFoul;value_HighClaim;value_HighRight;value_SetPiece;value_TimeWasting;value_CloseHigh;value_NotPastGoalLine;value_GkKickFromHands;value_AerialFoul;value_RecklessOffence;value_SwerveLeft;value_SoloRun;value_FreeKick;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2718530651;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-09-08T20:19:21.689Z;2024-09-08T22:36:05Z;[{'id': 5201261553, 'qualifierId': 130, 'value': '8'}, {'id': 5201261549, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5'}, {'id': 5201456481, 'qualifierId': 194, 'value': '38z2cuwmbeanujqho9cqwozmy'}, {'id': 5201261557, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5201261547, 'qualifierId': 30, 'value': '3gzatxlefe9axcrqyllbtrzmc, 4wu5ystem7t4d7veep83j2qne, am8ndwmm4m03ys6wkad29lst0, etyqw24tl6zko0qarctyv6ane, at9jab3qv8j4azup6qd5ggui2, 8p3y7tm4lzwp39tojonnohaay, 45nz5h9qtf9bnucuxuh3b4qhg, 38z2cuwmbeanujqho9cqwozmy, 28kg6zbpgbb8zrnhidogpxi0a, aa5n9va0fkquh5xqfdgbijvv8, 7pegcq6kh8s6naujxky714ys4, 1ss7pdaxmlk0sijax5brwpkyy, 2miuqwzjmcoxmgdyil758no5w, 86piuxs9tep01rcbsp3t8vx90, a9w6952jyw6x83gxp94zs8ro4, eh27y0usldxsj6ouf3pkvbg9g, cp3g2ofhua5rnrtjhs17gpij8'}, {'id': 5201261555, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0'}, {'id': 5201261551, 'qualifierId': 59, 'value': '41, 53, 72, 42, 35, 56, 90, 40, 47, 78, 80, 48, 61, 55, 44, 75, 66'}, {'id': 5201345621, 'qualifierId': 197, 'value': '23808'}];;;;;f45wsvefqdvkrkafrq8fn3sic;Team set up;8,0;;;;;;;23808,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2718532147;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-09-08T20:22:16.110Z;2024-09-08T21:15:13Z;[{'id': 5201269951, 'qualifierId': 59, 'value': '31, 85, 33, 98, 50, 40, 41, 49, 80, 46, 59, 72, 55, 64, 56, 42, 61, 97, 65'}, {'id': 5201269955, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5201269947, 'qualifierId': 30, 'value': 'brbc088u7sq9wh9d9gkonn5gq, e9jko5f45qmjw3va7cp05l5w4, 2dqtrnq0k1fphyw71yh41gvtg, 1extjwx4b7nlpu8fm6526dsrt, 9ulwk81vyj5rbz88h62i2ejv8, 910fd7rfysvvfzp2s1ywna5pm, 5jigl7kp5d2i5ws1602jm7n1m, 3dyn7hheqvs3gm3m84jrra9lg, f2nvagw4mjjpn1ytj6rdl5ene, 9k050zmkegfu3gdw2b4g4uwwk, 9gswafduy82n4o6f0uk0khhck, bbnk87q7t8pahznohwjjcvu5m, 37vbc16ejxmfkssydcdxq69zo, 632mpv8dpnxjm69f8ip1e4l5g, 92oqt9q51us5rpmqmvvrdso6i, 276kl5oc1k19y1linbxml0xec, c51ttt2cn2mguvgay18wfgzdg, 1b1vsi0l9xd0xy42q4p1bdk44, 4ke1e5h3gt66su5fs4bk74178'}, {'id': 5201269957, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5201358991, 'qualifierId': 194, 'value': '9ulwk81vyj5rbz88h62i2ejv8'}, {'id': 5201269953, 'qualifierId': 130, 'value': '8'}, {'id': 5201345661, 'qualifierId': 197, 'value': '15002'}, {'id': 5201269949, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;f45wsvefqdvkrkafrq8fn3sic;Team set up;8,0;;;;;;;15002,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;Colorado Rapids II;0;;
2718545683;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-09-08T21:04:14.821Z;2024-09-11T06:46:43Z;[{'id': 5201346053, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;f45wsvefqdvkrkafrq8fn3sic;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2718545689;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-09-08T21:04:14.821Z;2024-09-08T21:04:18Z;[{'id': 5201346095, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;f45wsvefqdvkrkafrq8fn3sic;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;Colorado Rapids II;0;;
2718545695;3;1;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;49,7;50,0;2024-09-08T21:04:14.822Z;2024-09-08T21:12:38Z;[{'id': 5201346133, 'qualifierId': 213, 'value': '1.61'}, {'id': 5201346199, 'qualifierId': 189}, {'id': 5201346125, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201346127, 'qualifierId': 140, 'value': '49.6'}, {'id': 5201346135, 'qualifierId': 279, 'value': 'S'}, {'id': 5201346131, 'qualifierId': 212, 'value': '2.5'}, {'id': 5201346129, 'qualifierId': 141, 'value': '53.7'}];5jigl7kp5d2i5ws1602jm7n1m;J. Klein;;;f45wsvefqdvkrkafrq8fn3sic;Pass;;;;;;;;;;1,61;1,0;;49,6;;2,5;53,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;49,6;53,7;;;;;;;0;0;0;0;Colorado Rapids II;0;AMR;1,0
2718545701;4;1;1;0;1;dqx48fglv1l96cyrmjdod0xec;0;51,4;54,3;2024-09-08T21:04:15.886Z;2024-09-08T21:12:59Z;[{'id': 5201346157, 'qualifierId': 1}, {'id': 5201346147, 'qualifierId': 56, 'value': 'Left'}, {'id': 5201346155, 'qualifierId': 213, 'value': '0.77'}, {'id': 5201346145, 'qualifierId': 155}, {'id': 5201346151, 'qualifierId': 141, 'value': '100.0'}, {'id': 5201346149, 'qualifierId': 140, 'value': '83.3'}, {'id': 5201346153, 'qualifierId': 212, 'value': '46.6'}, {'id': 5201346217, 'qualifierId': 189}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;f45wsvefqdvkrkafrq8fn3sic;Pass;;;;;;;;;;0,77;1,0;;83,3;;46,6;100,0;1,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;83,3;100,0;;;;;;;0;0;0;1;Colorado Rapids II;1;FW;1,0
2719122353;853;61;1;0;2;dqx48fglv1l96cyrmjdod0xec;0;67,7;95,7;2024-09-08T21:04:16.891Z;2024-09-11T05:59:00Z;[{'id': 5204520709, 'qualifierId': 56, 'value': 'Left'}];9gswafduy82n4o6f0uk0khhck;M. Joyner;;;f45wsvefqdvkrkafrq8fn3sic;Ball touch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;2;Colorado Rapids II;2;AML;1,0
2718545699;3;5;1;0;2;iiolvosiuokkrl5iuoxcjo4p;1;16,8;-1,8;2024-09-08T21:04:17.041Z;2024-09-08T21:04:19Z;[{'id': 5201346141, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201346163, 'qualifierId': 233, 'value': '5'}, {'id': 5201346143, 'qualifierId': 347}];28kg6zbpgbb8zrnhidogpxi0a;A. Díaz;;;f45wsvefqdvkrkafrq8fn3sic;Out;;;;;;;;;;;;;;;;;;;5,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;0;0;0;2;St. Louis City II;2;FW;1,0
2718545703;5;5;1;0;2;dqx48fglv1l96cyrmjdod0xec;0;83,2;101,8;2024-09-08T21:04:17.041Z;2024-09-08T21:50:36Z;[{'id': 5201346167, 'qualifierId': 233, 'value': '3'}, {'id': 5201346159, 'qualifierId': 56, 'value': 'Left'}, {'id': 5201346161, 'qualifierId': 347}];f2nvagw4mjjpn1ytj6rdl5ene;B. McSorley;;;f45wsvefqdvkrkafrq8fn3sic;Out;;;;;;;;;;;;;;;;;;;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;2;Colorado Rapids II;2;FW;1,0
2718545723;4;1;1;0;10;iiolvosiuokkrl5iuoxcjo4p;1;16,8;0,0;2024-09-08T21:04:25.314Z;2024-09-08T21:04:28Z;[{'id': 5201346301, 'qualifierId': 1}, {'id': 5201346295, 'qualifierId': 141, 'value': '8.3'}, {'id': 5201346297, 'qualifierId': 212, 'value': '21.7'}, {'id': 5201346291, 'qualifierId': 56, 'value': 'Back'}, {'id': 5201346293, 'qualifierId': 140, 'value': '36.4'}, {'id': 5201346299, 'qualifierId': 213, 'value': '0.32'}, {'id': 5201346289, 'qualifierId': 107}];4wu5ystem7t4d7veep83j2qne;S. Flores;;;f45wsvefqdvkrkafrq8fn3sic;Pass;;;;;;;;;;0,32;;;36,4;;21,7;8,3;1,0;;;;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;36,4;8,3;;;;;;;0;0;0;10;St. Louis City II;10;DR;1,0
