field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;3gzatxlefe9axcrqyllbtrzmc;1;41;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;GK;E. Bandré;;;;;;
2;4wu5ystem7t4d7veep83j2qne;2;53;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;DR;S. Flores;;;;;;
2;am8ndwmm4m03ys6wkad29lst0;3;72;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;DC;M. Alvarado;;;;86piuxs9tep01rcbsp3t8vx90;77,0;2,0
3;etyqw24tl6zko0qarctyv6ane;4;42;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;MC;R. Peña;;;;1ss7pdaxmlk0sijax5brwpkyy;77,0;2,0
2;at9jab3qv8j4azup6qd5ggui2;5;35;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;DL;D. Chacón;;;;a9w6952jyw6x83gxp94zs8ro4;16,0;1,0
2;8p3y7tm4lzwp39tojonnohaay;6;56;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;DC;N. Jones;;;;eh27y0usldxsj6ouf3pkvbg9g;45,0;2,0
3;45nz5h9qtf9bnucuxuh3b4qhg;7;90;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;AMR;C. Swan;;;;;;
3;38z2cuwmbeanujqho9cqwozmy;8;40;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;MC;R. Aguirre;;;;;;
4;28kg6zbpgbb8zrnhidogpxi0a;9;47;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;FW;A. Díaz;;;;;;
3;aa5n9va0fkquh5xqfdgbijvv8;10;78;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;AMC;M. Simpson;;;;cp3g2ofhua5rnrtjhs17gpij8;64,0;2,0
3;7pegcq6kh8s6naujxky714ys4;11;80;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;AML;N. Strellnauer;;;;;;
5;1ss7pdaxmlk0sijax5brwpkyy;0;48;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;Sub;L. Batiste;etyqw24tl6zko0qarctyv6ane;77,0;2,0;;;
5;2miuqwzjmcoxmgdyil758no5w;0;61;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;Sub;;;;;;;
5;86piuxs9tep01rcbsp3t8vx90;0;55;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;Sub;P. Dormoh;am8ndwmm4m03ys6wkad29lst0;77,0;2,0;;;
5;a9w6952jyw6x83gxp94zs8ro4;0;44;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;Sub;J. Belluz;at9jab3qv8j4azup6qd5ggui2;16,0;1,0;;;
5;a9w6952jyw6x83gxp94zs8ro4;0;44;8;iiolvosiuokkrl5iuoxcjo4p;f45wsvefqdvkrkafrq8fn3sic;home;1;Sub;J. Belluz;9gswafduy82n4o6f0uk0khhck;16,0;1,0;;;
