field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;99hdzy5s45xr72d3lgttdmne1;1;25;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;GK;J. Gal;;;;;;
3;2343y1f4dtezub9633ghspqi2;2;24;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;DMR;J. Dean;;;;;;
3;4agnpztnedb7ql14bo477vspg;3;53;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;DML;P. Soudan;;;;;;
2;9vc2mynd9lg2oyt14n4e7a44q;4;54;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;DC;L. Rochester;;;;;;
2;5d341k1dxhlbetyh965z3q784;5;43;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;DC;J. Shannon;;;;;;
2;acskv7krqaau05kpgbfz6f0iy;6;36;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;DC;J. Reynolds;;;;4ycsifqidpgttuanylwsyts7o;75,0;2,0
3;38p90lsdc5iv1jvjbhiinv6ne;7;37;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;MC;J. Casas;;;;;;
3;64wbk2nsrs0ru0hjcq0lenwgk;8;35;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;MC;S. Oregel;;;;;;
4;6n0x8t513vmsmgfasovvoj7u2;9;44;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;FW;J. Shokalook;;;;2atsox1bassuexlgta8h3us4p;45,0;2,0
4;b1p6qcv8wjzoxoax3nt13n5gq;10;48;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;FWR;D. Poręba;;;;;;
4;afdz1ibldn2vc8gtezyw8tqay;11;45;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;FWL;H. Osorio;;;;2buy6q56o0ixo30fatz7ps9w4;75,0;2,0
5;5ehbz7f56cmfamc29fnk3yuax;0;49;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;Sub;;;;;;;
5;4uybjezp5gdqpvkwp8qsdxrf8;0;80;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;Sub;;;;;;;
5;1x9uiwhoqu3qumt0urv5trlec;0;67;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;Sub;;;;;;;
5;2atsox1bassuexlgta8h3us4p;0;50;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;Sub;C. Koffi;6n0x8t513vmsmgfasovvoj7u2;45,0;2,0;;;
5;72xktsosbsh2uwkwby59mr6z8;0;42;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;Sub;;;;;;;
5;4ycsifqidpgttuanylwsyts7o;0;66;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;Sub;C. Nagle;acskv7krqaau05kpgbfz6f0iy;75,0;2,0;;;
5;6n55m4ykhmk5eqx0ymc2ufz84;0;52;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;Sub;;;;;;;
5;2buy6q56o0ixo30fatz7ps9w4;0;46;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;Sub;J. Zapata;afdz1ibldn2vc8gtezyw8tqay;75,0;2,0;;;
5;710y645hepag4if4rm3gggjdg;0;56;13;8o8m08he36u0j4w08aj2iodn8;f4jr1q5owrb6r685nnmuoiqdw;home;1;Sub;;;;;;;
1;3fjb8lymm7grc7nqyfpzw1a8k;1;25;17;bd0378yx50xpdcgwkt9p9bmz8;f4jr1q5owrb6r685nnmuoiqdw;away;1;GK;P. Walters;;;;;;
3;8bjjne12yudwbzfzjdlygqx62;2;42;17;bd0378yx50xpdcgwkt9p9bmz8;f4jr1q5owrb6r685nnmuoiqdw;away;1;DMR;A. Daley;;;;;;
3;44nrrrjr233eellmujjz45h5g;3;15;17;bd0378yx50xpdcgwkt9p9bmz8;f4jr1q5owrb6r685nnmuoiqdw;away;1;DML;B. Halsey;;;;5bgt61vb5lnzyoczqnr202lpm;63,0;2,0
2;739dnufx6izfhubwow0n1ijxm;4;34;17;bd0378yx50xpdcgwkt9p9bmz8;f4jr1q5owrb6r685nnmuoiqdw;away;1;DC;L. Aghedo;;;;8za8xvdiyduedk2i99bdqv4es;59,0;2,0
2;2f5ymqh1j87xhi9ynovnujpm2;5;38;17;bd0378yx50xpdcgwkt9p9bmz8;f4jr1q5owrb6r685nnmuoiqdw;away;1;DC;B. Schaefer;;;;;;
2;5h73r4bv42whxsvnlq89b89re;6;14;17;bd0378yx50xpdcgwkt9p9bmz8;f4jr1q5owrb6r685nnmuoiqdw;away;1;DC;K. Keller;;;;bpr7u1cp7bzt1w2t1tsmru73e;63,0;2,0
3;8sydisziijh84elb8dprtlduy;7;41;17;bd0378yx50xpdcgwkt9p9bmz8;f4jr1q5owrb6r685nnmuoiqdw;away;1;DMC;N. Benalcázar;;;;;;
3;4bpxi7ovrhew3zkp53781lyei;8;26;17;bd0378yx50xpdcgwkt9p9bmz8;f4jr1q5owrb6r685nnmuoiqdw;away;1;DMC;M. Pinto;;;;bu0qf3q6j69an4i0gz7xhqcd0;59,0;2,0
3;4bpxi7ovrhew3zkp53781lyei;8;26;17;bd0378yx50xpdcgwkt9p9bmz8;f4jr1q5owrb6r685nnmuoiqdw;away;1;DMC;M. Pinto;;;;9vc2mynd9lg2oyt14n4e7a44q;59,0;2,0
