field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;bn7qfn71x24fjl5d8t4p97kve;1;44;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;GK;A. Rando;;;;;;
2;6sf0pdlzomnt3e1hlc4twyv4k;2;38;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;DR;D. Baiera;;;;;;
2;7uk47vm92xsvwdofmw1ppawyy;3;68;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;DC;C. Tiao;;;;;;
3;2676930j149yvanqev61emh62;4;70;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;MC;J. Rozhansky;;;;;;
2;eq98gflais2v26wgbkw9wrxg4;5;47;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;DL;K. Haxhari;;;;;;
2;eiyzqnfh8r8aduel0seou7nu2;6;31;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;DC;S. Owusu;;;;;;
3;cwyml9l4tfvb4ceh8tv3au0wk;7;29;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;MC;M. Carrizo;;;;a0do5kh5akr89kst2p1hohixg;73,0;2,0
3;duj699i9620tuf3ii9z06bqsq;8;42;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;MC;P. Elias;;;;;;
4;1d20nyyvmp0doobj6heejkowk;9;99;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;FW;T. Calheira;;;;;;
4;3ei1s8oyub83owfxxbsygmsmi;10;77;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;FWR;J. Jiménez;;;;;;
4;1cfm4ne1po0mld4bl37deg36c;11;32;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;FWL;J. Shore;;;;5bjavs7mhqjh1tlrfp4vj7od0;73,0;2,0
5;3o4uxnvpnf3cwjs3srwegxp90;0;75;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;Sub;;;;;;;
5;1p4rbf4wumfagv2ntlewdxey;0;74;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;Sub;;;;;;;
5;4k6c9nnzytq9qhc9uol64wg7o;0;37;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;Sub;;;;;;;
5;5bjavs7mhqjh1tlrfp4vj7od0;0;81;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;Sub;J. Lopez;1cfm4ne1po0mld4bl37deg36c;73,0;2,0;;;
5;4h2k5kwclhlgjk2koqin5r2fo;0;64;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;Sub;;;;;;;
5;1ni0mewxcbo26d1xxetkdy3ca;0;63;4;6ddsx316t3j0z6nolrky9k4r8;fmsuib8m4nr04g27yr07scno;home;1;Sub;;;;;;;
