field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;2y9o7d8tm1f8fnp6jewxzifis;1;76;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;GK;A. Rick;;;;;;
2;15v2azulwhof0p216i7bjp250;2;30;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;DR;J. Berdecio;;;;;;
2;2qz3ojbfedl8psp1tvq0183ro;3;39;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;DC;F. Westfield;;;;;;
3;993vihjmsn70q9w237fatzgbu;4;24;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;DMC;N. Pariano;;;;872ifpo3qufi9vv9vy7ty6uj8;79,0;2,0
2;3h4x6eh6zkcaww4g6rhkwpbf8;5;44;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;DL;Neil Pierre;;;;;;
2;a3qa9kw3vbh8nu5mgns92czro;6;29;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;DC;O. Makhanya;;;;;;
3;cjhjwaelyypl3ca9gpzu61vys;7;38;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;MR;G. Sequera;;;;d4spt2529fmys8d26x61lk36c;89,0;2,0
3;20wmdzih6b1t0ekt1v2qd4b2s;8;6;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;AMC;C. Sullivan;;;;de6bz3uyz5ta17f0jnnfhzims;89,0;2,0
4;434xf7moiduhzy9ivp7jxr10;9;55;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;FW;S. Olivas;;;;7nd2w9ipveb6nfo413i8focus;62,0;2,0
4;9j3va21w5i9ypf8qmt4g1vggk;10;77;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;FW;E. Davis;;;;cbpm8k301adrmft5fd0kaeiuh;79,0;2,0
3;7bodno8j3qjiqp9wy8kobwmqc;11;56;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;ML;C. Olney;;;;;;
5;7nd2w9ipveb6nfo413i8focus;0;32;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;Sub;J. Riasco;434xf7moiduhzy9ivp7jxr10;62,0;2,0;;;
5;5aszabja459117mqykvfpajh0;0;42;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;Sub;;;;;;;
5;cbpm8k301adrmft5fd0kaeiuh;0;88;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;Sub;K. Tucker;9j3va21w5i9ypf8qmt4g1vggk;79,0;2,0;;;
5;872ifpo3qufi9vv9vy7ty6uj8;0;58;3;1zgjjyruyufrkh4xjvryqsb1i;g0ejl83bkbxuocv8r983rbis;home;1;Sub;G. Wetzel;993vihjmsn70q9w237fatzgbu;79,0;2,0;;;
