field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;71y61qa3ywym9sa89dpkzfcyy;1;41;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;GK;E. Ochoa;;;;;;
2;4h8dml0qrwpqza4kqazp5dnqi;2;45;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;DR;W. Eisner;;;;35jkg2v338kipzlf0iwvvypuy;87,0;2,0
2;3q8dpwqkikbugz3ikwcmkbg4q;3;72;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;DC;R. Ibarra;;;;;;
3;4nzrv75trp05nqos781kk62hg;4;58;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;MC;R. Rajagopal;;;;f2nxaemhqi8kbtbejnqekgd4a;45,0;2,0
2;dqa88ma3jbk33lsyzo45uy2cq;5;66;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;DL;A. Cano;;;;;;
2;79z5vt08ga8prn33vi2a260kq;6;77;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;DC;C. Walls;;;;;;
3;au9595t3oo0zbzexhr01ts0h6;7;20;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;AMR;W. Richmond;;;;cac9hjmdwt1gsz0qt3f6d4b2s;45,0;2,0
3;dhrxi7hj8xh15ky7q6u5wqi5m;8;64;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;MC;B. Leroux;;;;;;
4;1bmbt6h6bsiimpzxt07cqwfvu;9;60;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;FW;E. Blancas;;;;;;
3;5n1wehugx0qtun8oopg2jbndg;10;99;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;AMC;C. Medina;;;;bpfl7nj8llr3dfadhtju52rro;77,0;2,0
3;7jtxek694d60c5udhyv0zsjro;11;71;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;AML;R. Lynch;;;;658wqca9ctixqav113prm06ei;77,0;2,0
5;bpfl7nj8llr3dfadhtju52rro;0;54;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;Sub;J. Spivey;5n1wehugx0qtun8oopg2jbndg;77,0;2,0;;;
5;3514h23j8mh5m37hsg90245ck;0;53;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;Sub;;;;;;;
5;658wqca9ctixqav113prm06ei;0;2;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;Sub;J. Ricketts;7jtxek694d60c5udhyv0zsjro;77,0;2,0;;;
5;35jkg2v338kipzlf0iwvvypuy;0;63;8;ew2zirzye0sw1txr2m33nr25y;hvf6ig5ftcv9iiss2lsf3mz8;home;1;Sub;S. Bilter;4h8dml0qrwpqza4kqazp5dnqi;87,0;2,0;;;
