id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_TeamFormation;value_PlayerPosition;value_Resume;value_Captain;value_TeamKit;value_JerseyNumber;value_Involved;value_DirectionOfPlay;value_Zone;value_PassEndX;value_Length;value_Angle;value_KickOff;value_PassEndY;value_LongBall;value_PlayersCaughtOffside;value_HeadPass;value_DeletedEventType;value_Indirect;value_FreeKickTaken;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_TouchTypeControl;value_Chipped;value_Offensive;value_Defensive;value_OutOfPlay;value_LowGkIntervention;value_KeeperThrow;value_BlockedPass;value_IntendedTackleTarget;value_GoalmouthY;value_OutOfBoxCentre;value_IndividualPlay;value_LowCentre;value_GoalmouthZ;value_LeftFooted;value_BlockedX;value_BlockedY;value_Assisted;value_RelatedEventId;value_RegularPlay;value_Collected;value_Diving;value_Hands;value_Launch;value_GkHoof;value_TakeOnSpace;value_TouchTypeClearance;value_Defensive1V1;value_AttemptedTackle;value_Foul;value_Direct;value_Head;value_TouchTypePass;value_GkY;value_Blocked;value_FreeKick;value_GkX;value_NotAssisted;value_DefBlock;value_FirstTouch;value_HighLeft;value_Volley;value_SetPiece;value_NextEventGoalKick;value_Low;value_GoalKick;value_Left;value_InSwinger;value_RightFooted;value_Cross;value_CornerTaken;value_LayOff;value_Assist;value_IntentionalAssist;value_BigChance;value_LowLeft;value_BoxCentre;value_ParriedSafe;value_Standing;value_Stooping;value_ShirtPull/Holding;value_YellowCard;value_TacticalFoul;value_OutSwinger;value_Shove/Push;value_FromCorner;value_High;value_CloseRight;value_Right;value_HighGkIntervention;value_NotVisible;value_FlickOn;value_SwitchOfPlay;value_MediumGkIntervention;value_SmallBoxCentre;value_CloseLeft;value_BoxLeft;value_BoxDeepLeft;value_Feet;value_Sliding;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_GoalShotGameClock;value_BoxRight;value_Minutes;value_EndType;value_Tactical;value_DetailedPositionId;value_PositionSideId;value_FormationSlot;value_Tap;value_Handball;value_CloseHigh;value_MisHit;value_Dissent;value_SixYardBlocked;value_SavedOffLine;value_LastLine;value_LowRight;value_FastBreak;value_OverArm;value_Injury;value_HighClaim;value_GkKickFromHands;value_Overrun;value_TakeOnOvertake;value_ThroughBall;value_1On1;value_GkChallenge;value_HighRight;value_RedCard;value_SeriousFoul;value_Deflection;value_RecklessOffence;value_ViolentConduct;value_Argument;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2728594999;1;34;16;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-09-30T01:17:40.821Z;2024-09-30T02:17:11Z;[{'id': 5256260159, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5256260157, 'qualifierId': 130, 'value': '2'}, {'id': 5256260153, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5256260161, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5256333683, 'qualifierId': 194, 'value': '9ulwk81vyj5rbz88h62i2ejv8'}, {'id': 5256316865, 'qualifierId': 197, 'value': '15002'}, {'id': 5256260155, 'qualifierId': 59, 'value': '31, 64, 70, 56, 50, 40, 98, 33, 46, 85, 59, 72, 94, 80, 77, 66, 42, 61, 65'}, {'id': 5256260151, 'qualifierId': 30, 'value': 'brbc088u7sq9wh9d9gkonn5gq, 632mpv8dpnxjm69f8ip1e4l5g, cnskozf15ladiqa70l9uo920a, 92oqt9q51us5rpmqmvvrdso6i, 9ulwk81vyj5rbz88h62i2ejv8, 910fd7rfysvvfzp2s1ywna5pm, 1extjwx4b7nlpu8fm6526dsrt, 2dqtrnq0k1fphyw71yh41gvtg, 9k050zmkegfu3gdw2b4g4uwwk, e9jko5f45qmjw3va7cp05l5w4, 9gswafduy82n4o6f0uk0khhck, bbnk87q7t8pahznohwjjcvu5m, 4eh46qse8ocmutobremniuolw, f2nvagw4mjjpn1ytj6rdl5ene, 8bwjj53jwbsi0emx370uka5g4, up1kju28upwea6qzngeh7j84, 276kl5oc1k19y1linbxml0xec, c51ttt2cn2mguvgay18wfgzdg, 4ke1e5h3gt66su5fs4bk74178'}];;;;;i8vk8y0611mmh1sz7o7li0wk;Team set up;;2,0;;;;15002,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;Ventura County;0;;
2728595691;1;34;16;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-09-30T01:19:23.360Z;2024-09-30T02:09:35Z;[{'id': 5256263057, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5256263051, 'qualifierId': 59, 'value': '31, 75, 50, 52, 64, 51, 61, 21, 63, 84, 65, 78, 72, 95, 91, 97, 87, 71, 53, 73'}, {'id': 5256314957, 'qualifierId': 194, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex'}, {'id': 5256263047, 'qualifierId': 30, 'value': 'ab8jzmb5h0lh7mt66h3zgm5ex, 70e7dozhms3xdkr0n6kas00es, 4blue6g56i3t9iffjcmjs6hhw, c44bkncqmptribnxki1dyppbe, ckqdb14rd2i1scytlygbsncb8, e23yyl43xtcve09dx234uuj8, 5zawuirp825t4brhaj90k9duy, 1o0ew8fp44fuo3o7c8ef8pd2i, 6d45ccicyo6dregi9cm4ad4kq, 4o8ulvahxfb06x5xhvflvwhzo, 74bhj4xi5zgq6evsr4c766p04, 3c1xz4vpfoum0jbq6bmtdrtux, 2eoftsi3eznjjmhu8ybft11ck, 4283da2hccprbybkv4nvmos2c, pldpnmzoo867jhdvamuhp9n8, 7suq9shgwa8fyip80f1zy1mhg, 58akq0ojntf5n123msb1tzeok, 2io6rajwkftjli8i14hf606ei, b2sl4wp77nrynvodb6k19yfze, 1k1vw0upmpekjnh6mmfhqz8yc'}, {'id': 5256263055, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5256314959, 'qualifierId': 197, 'value': '23553'}, {'id': 5256263053, 'qualifierId': 130, 'value': '2'}, {'id': 5256263049, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}];;;;;i8vk8y0611mmh1sz7o7li0wk;Team set up;;2,0;;;;23553,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2728605735;2;32;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;0,0;0,0;2024-09-30T02:07:55.838Z;2024-10-03T05:35:05Z;[{'id': 5256319941, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;i8vk8y0611mmh1sz7o7li0wk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;;;;;;;;;0;0;0;0;St. Louis City II;0;;
2728605741;2;32;1;0;0;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-09-30T02:07:55.838Z;2024-09-30T02:07:59Z;[{'id': 5256319961, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;i8vk8y0611mmh1sz7o7li0wk;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;0;Ventura County;0;;
2728605749;3;1;1;0;0;8ijkk62897so5r3bq0wgwx4bu;1;49,8;49,7;2024-09-30T02:07:55.898Z;2024-09-30T02:07:59Z;[{'id': 5256319995, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256319997, 'qualifierId': 140, 'value': '31.7'}, {'id': 5256320001, 'qualifierId': 212, 'value': '19.2'}, {'id': 5256320003, 'qualifierId': 213, 'value': '3.30'}, {'id': 5256320005, 'qualifierId': 279, 'value': 'S'}, {'id': 5256319999, 'qualifierId': 141, 'value': '45.2'}];6d45ccicyo6dregi9cm4ad4kq;I. Paul;;;i8vk8y0611mmh1sz7o7li0wk;Pass;;;;;;;;;;;31,7;19,2;3,3;;45,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;31,7;45,2;;;;;;;0;0;0;0;St. Louis City II;0;FW;1,0
2728605769;4;1;1;0;2;8ijkk62897so5r3bq0wgwx4bu;1;31,7;45,2;2024-09-30T02:07:58.695Z;2024-09-30T02:08:01Z;[{'id': 5256320073, 'qualifierId': 212, 'value': '18.3'}, {'id': 5256320069, 'qualifierId': 140, 'value': '16.0'}, {'id': 5256320075, 'qualifierId': 213, 'value': '2.69'}, {'id': 5256320067, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256320071, 'qualifierId': 141, 'value': '56.9'}];1o0ew8fp44fuo3o7c8ef8pd2i;T. Lepley;;;i8vk8y0611mmh1sz7o7li0wk;Pass;;;;;;;;;;;16,0;18,3;2,69;;56,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;16,0;56,9;;;;;;;0;0;0;2;St. Louis City II;2;MC;1,0
2728605779;5;1;1;0;5;8ijkk62897so5r3bq0wgwx4bu;1;16,0;56,9;2024-09-30T02:08:01.399Z;2024-09-30T02:08:03Z;[{'id': 5256320121, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256320127, 'qualifierId': 212, 'value': '8.9'}, {'id': 5256320125, 'qualifierId': 141, 'value': '50.6'}, {'id': 5256320123, 'qualifierId': 140, 'value': '8.6'}, {'id': 5256320129, 'qualifierId': 213, 'value': '3.65'}];e23yyl43xtcve09dx234uuj8;A. Essengue;;;i8vk8y0611mmh1sz7o7li0wk;Pass;;;;;;;;;;;8,6;8,9;3,65;;50,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;8,6;50,6;;;;;;;0;0;0;5;St. Louis City II;5;DC;1,0
2728605791;6;2;1;0;7;8ijkk62897so5r3bq0wgwx4bu;1;8,6;50,6;2024-09-30T02:08:03.673Z;2024-09-30T02:08:20Z;[{'id': 5256320459, 'qualifierId': 1}, {'id': 5256320461, 'qualifierId': 56, 'value': 'Center'}, {'id': 5256320187, 'qualifierId': 140, 'value': '50.7'}, {'id': 5256320457, 'qualifierId': 7, 'value': '6d45ccicyo6dregi9cm4ad4kq'}, {'id': 5256320189, 'qualifierId': 141, 'value': '47.2'}];ab8jzmb5h0lh7mt66h3zgm5ex;B. Scott;;;i8vk8y0611mmh1sz7o7li0wk;Offside Pass;;;;;;;;;;;50,7;;;;47,2;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8ijkk62897so5r3bq0wgwx4bu;Ventura County;home;50,7;47,2;;;;;;;0;0;0;7;St. Louis City II;7;GK;1,0
2728605811;4;55;1;0;7;dqx48fglv1l96cyrmjdod0xec;1;43,5;49,3;2024-09-30T02:08:03.674Z;2024-09-30T02:40:26Z;[];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;;i8vk8y0611mmh1sz7o7li0wk;Offside provoked;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;;;;;;;;;0;0;0;7;Ventura County;7;DL;1,0
2728605801;3;43;1;0;10;dqx48fglv1l96cyrmjdod0xec;1;0,0;0,0;2024-09-30T02:08:06.074Z;2024-09-30T02:08:11Z;[{'id': 5256320247, 'qualifierId': 141, 'value': '56.7'}, {'id': 5256320251, 'qualifierId': 213, 'value': '6.09'}, {'id': 5256320249, 'qualifierId': 212, 'value': '28.8'}, {'id': 5256320241, 'qualifierId': 3, 'value': '0'}, {'id': 5256320317, 'qualifierId': 144, 'value': '1'}, {'id': 5256320243, 'qualifierId': 56, 'value': 'Center'}, {'id': 5256320245, 'qualifierId': 140, 'value': '63.5'}];9ulwk81vyj5rbz88h62i2ejv8;G. Mikina;;;i8vk8y0611mmh1sz7o7li0wk;Deleted event;;;;;;;;;;;63,5;28,8;6,09;;56,7;;;0,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;dqx48fglv1l96cyrmjdod0xec;St. Louis City II;away;63,5;56,7;;;;;;;0;0;0;10;Ventura County;10;DL;1,0
