field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;brbc088u7sq9wh9d9gkonn5gq;1;31;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;GK;C. Olivares;;;;;;
2;632mpv8dpnxjm69f8ip1e4l5g;2;64;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;DR;D. Armstrong;;;;f2nvagw4mjjpn1ytj6rdl5ene;45,0;2,0
2;cnskozf15ladiqa70l9uo920a;3;70;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;DC;S. Pidro;;;;bbnk87q7t8pahznohwjjcvu5m;78,0;2,0
3;92oqt9q51us5rpmqmvvrdso6i;4;56;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;MC;R. Becher;;;;;;
2;9ulwk81vyj5rbz88h62i2ejv8;5;50;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;DL;G. Mikina;;;;;;
2;910fd7rfysvvfzp2s1ywna5pm;6;40;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;DC;M. Wentzel;;;;;;
3;1extjwx4b7nlpu8fm6526dsrt;7;98;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;MR;M. Kidd;;;;;;
3;2dqtrnq0k1fphyw71yh41gvtg;8;33;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;MC;T. Pearce;;;;;;
4;9k050zmkegfu3gdw2b4g4uwwk;9;46;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;FW;C. Glover;;;;c51ttt2cn2mguvgay18wfgzdg;64,0;2,0
4;e9jko5f45qmjw3va7cp05l5w4;10;85;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;FW;Hosei Kijima;;;;;;
3;9gswafduy82n4o6f0uk0khhck;11;59;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;ML;M. Joyner;;;;276kl5oc1k19y1linbxml0xec;93,0;2,0
5;bbnk87q7t8pahznohwjjcvu5m;0;72;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;Sub;E. Kinzner;cnskozf15ladiqa70l9uo920a;78,0;2,0;;;
5;4eh46qse8ocmutobremniuolw;0;94;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;Sub;;;;;;;
5;f2nvagw4mjjpn1ytj6rdl5ene;0;80;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;Sub;B. McSorley;632mpv8dpnxjm69f8ip1e4l5g;45,0;2,0;;;
5;8bwjj53jwbsi0emx370uka5g4;0;77;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;Sub;;;;;;;
5;up1kju28upwea6qzngeh7j84;0;66;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;Sub;;;;;;;
5;276kl5oc1k19y1linbxml0xec;0;42;2;dqx48fglv1l96cyrmjdod0xec;i8vk8y0611mmh1sz7o7li0wk;away;1;Sub;Ó. Benítez;9gswafduy82n4o6f0uk0khhck;93,0;2,0;;;
