id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_TeamPlayerFormation;value_JerseyNumber;value_TeamFormation;value_PlayerPosition;value_Involved;value_Captain;value_Resume;value_TeamKit;value_DirectionOfPlay;value_Angle;value_KickOff;value_Length;value_PassEndX;value_PassEndY;value_Zone;value_IntendedTackleTarget;value_ThroughBall;value_LowGkIntervention;value_KeeperThrow;value_NextEventThrowIn;value_OppositeRelatedEventId;value_ThrowIn;value_Chipped;value_TouchTypePass;value_LongBall;value_Launch;value_Defensive;value_Offensive;value_HeadPass;value_TouchTypeControl;value_TakeOnOvertake;value_TouchTypeClearance;value_OutOfPlay;value_Left;value_Right;value_InSwinger;value_CornerTaken;value_Cross;value_OverhitCross;value_LeftFooted;value_DeletedEventType;value_NextEventGoalKick;value_Low;value_GoalKick;value_TakeOnSpace;value_AttemptedTackle;value_Direct;value_Foul;value_FreeKickTaken;value_LayOff;value_RightFooted;value_OutSwinger;value_NotVisible;value_BlockedPass;value_SwitchOfPlay;value_Straight;value_FloatedCross;value_Volley;value_GoalmouthY;value_BlockedX;value_FirstTouch;value_BoxCentre;value_NotAssisted;value_HighCentre;value_MisHit;value_GoalmouthZ;value_BlockedY;value_RegularPlay;value_ParriedSafe;value_Reaching;value_HighGkIntervention;value_Hands;value_FlickOn;value_HighClaim;value_MediumGkIntervention;value_PullBack;value_ShirtPull/Holding;value_Overrun;value_PlayersCaughtOffside;value_Indirect;value_BlockedCross;value_RelatedEventId;value_YellowCard;value_RecklessOffence;value_Assist;value_IntentionalAssist;value_GkY;value_GkX;value_BoxLeft;value_NotPastGoalLine;value_Assisted;value_SetPiece;value_Head;value_OverArm;value_High;value_Minutes;value_HighLeft;value_FromCorner;value_Standing;value_Collected;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_IndividualPlay;value_LowLeft;value_OutOfBoxCentre;value_Blocked;value_DefBlock;value_BoxRight;value_LowRight;value_GoalShotGameClock;value_GkXTimeOfGoal;value_SmallBoxRight;value_GkYTimeOfGoal;value_GoalShotTimestamp;value_CloseHigh;value_SmallBoxCentre;value_BigChance;value_LowCentre;value_LeadingToGoal;value_RelatedError1Id;value_DrivenCross;value_OtherObstacle;value_VideoCoverageLost;value_CloseLeft;value_Shove/Push;value_RedCard;value_ViolentConduct;value_GkHoof;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2728574927;1;34;16;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-09-30T00:16:25.445Z;2024-09-30T01:08:31Z;[{'id': 5256153495, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5256153491, 'qualifierId': 59, 'value': '95, 99, 37, 81, 20, 42, 72, 13, 28, 77, 41, 97, 51, 92, 34, 40, 39, 49, 80, 21'}, {'id': 5256153493, 'qualifierId': 130, 'value': '8'}, {'id': 5256153489, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5256153487, 'qualifierId': 30, 'value': 'd8jipeh184bc6p9c0uervzytw, 9p86jgzpsokma52ifxswk4woa, 5gl31qop7zlj9mfbtolvj7xuc, 3wkej06590b61lyqm7vt1kwes, 1z750xyx7stmv6uf51h1y6ehh, ahl3kfbfeubf6zfl7x8qrlm38, 72xq9zy27facbbowtwsuzw0lw, 12ti9nxilgsj337ep2zehv7u2, eswp4t4r8ktirsnkodz26gyui, 6kpb5yyfk2ifjgtfkspb8xwd0, dzo2odov052991qseshgfruju, 9rgkh8j5l8n0ld96ojr47xy7e, 48vc423tkz4mx7oql1ahqneac, bxnegxnynd1glae8g0vfigfvu, 8rq61cgteiomxej2p0nxaw6c4, 8y2nsfsangmn1qa389y25b76c, tw82u87mw6kggtjblt1hhdzo, 8zi8ztqodyei25r17enlqfhuc, 4pecy6elniy71xp1ql9a9mbro, 1qtu7ppqssq1jz3ghx871jjf8'}, {'id': 5256172561, 'qualifierId': 194, 'value': '1z750xyx7stmv6uf51h1y6ehh'}, {'id': 5256153497, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5256235399, 'qualifierId': 197, 'value': '8379'}];;;;;imexd1x47p0kt9dpkw6qg9hw;Team set up;;;8,0;;;;;8379,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;0;Portland Timbers II;0;;
2728577463;1;34;16;0;0;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-09-30T00:23:12.233Z;2024-09-30T03:08:44Z;[{'id': 5256167279, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5256167277, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5256167273, 'qualifierId': 59, 'value': '36, 45, 51, 48, 39, 40, 46, 38, 70, 77, 37, 47, 87, 80, 96, 42, 84, 65, 73, 85'}, {'id': 5256167271, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5256167275, 'qualifierId': 130, 'value': '13'}, {'id': 5256235565, 'qualifierId': 197, 'value': '24422'}, {'id': 5256385085, 'qualifierId': 194, 'value': 'c2tmm1kt6qyna4650kfy4bpm2'}, {'id': 5256167269, 'qualifierId': 30, 'value': 'c2tmm1kt6qyna4650kfy4bpm2, a89drfd4adts1cbtqa77l1boq, a5tjyddv4t8eg9wcum3o15qfo, d1xlw5bza316m39f9n82hir1m, dv0qqd4mx117y4al165nsdic4, 33l8nq6xbj3pm1lkxo2qs5vfu, druwx3n136woly4objqgk7tp0, 36nlk9spjf591wxuzvimi0eay, 7t8o8pe93me2pef74vw21nr6y, 8p8xhni028mqjv6kz6fdz850q, 5gvvjvj3aw75jrxcmajcx2b6c, 5lwarg9t4o7hxcq5exe8gwydw, 6zolwstla33ppx84k1o2v8rv8, 5nykil6w1bxfevpp2c5rr32fo, 4wr32d93f1q1v8qjq2ywmnbze, 3f5g2kijev81v9nzwsyxwiiju, c88etxtac9g49m3usj08lm1hw, bg306by2ig93xe53km8nma49g, 4758p8wg8z76pxjncaewx8mqc, cfloysu7us5az7zwvfqo2qcyc'}];;;;;imexd1x47p0kt9dpkw6qg9hw;Team set up;;;13,0;;;;;24422,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2728589855;2;32;1;0;0;cbip96wzs3jc2xadoluhhxotl;1;0,0;0,0;2024-09-30T01:04:43.480Z;2024-10-04T05:27:17Z;[{'id': 5256236917, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;imexd1x47p0kt9dpkw6qg9hw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;cbip96wzs3jc2xadoluhhxotl;Real Monarchs;home;;;;;;;;;0;0;0;0;Portland Timbers II;0;;
2728589849;2;32;1;0;0;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-09-30T01:04:43.480Z;2024-09-30T01:04:43Z;[{'id': 5256236889, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;imexd1x47p0kt9dpkw6qg9hw;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;0;0;Real Monarchs;0;;
2728589869;3;1;1;0;0;5ou8b446l1sl8frblkz3xi17g;1;49,7;50,1;2024-09-30T01:04:43.481Z;2024-09-30T01:04:47Z;[{'id': 5256236987, 'qualifierId': 213, 'value': '3.12'}, {'id': 5256236989, 'qualifierId': 279, 'value': 'S'}, {'id': 5256236985, 'qualifierId': 212, 'value': '17.2'}, {'id': 5256236981, 'qualifierId': 140, 'value': '33.3'}, {'id': 5256236983, 'qualifierId': 141, 'value': '50.7'}, {'id': 5256236979, 'qualifierId': 56, 'value': 'Back'}];7t8o8pe93me2pef74vw21nr6y;J. Penn;;;imexd1x47p0kt9dpkw6qg9hw;Pass;;;;;;;;;;3,12;;17,2;33,3;50,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;33,3;50,7;;;;;;;0;0;0;0;Real Monarchs;0;FW;1,0
2728589881;4;1;1;0;2;5ou8b446l1sl8frblkz3xi17g;1;32,7;49,1;2024-09-30T01:04:46.389Z;2024-09-30T01:04:48Z;[{'id': 5256237059, 'qualifierId': 213, 'value': '4.81'}, {'id': 5256237053, 'qualifierId': 140, 'value': '34.3'}, {'id': 5256237055, 'qualifierId': 141, 'value': '23.6'}, {'id': 5256237057, 'qualifierId': 212, 'value': '17.4'}, {'id': 5256237051, 'qualifierId': 56, 'value': 'Back'}];dv0qqd4mx117y4al165nsdic4;T. Clegg;;;imexd1x47p0kt9dpkw6qg9hw;Pass;;;;;;;;;;4,81;;17,4;34,3;23,6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;34,3;23,6;;;;;;;0;0;0;2;Real Monarchs;2;DC;1,0
2728589899;5;1;1;0;4;5ou8b446l1sl8frblkz3xi17g;1;34,3;23,6;2024-09-30T01:04:48.069Z;2024-09-30T01:04:50Z;[{'id': 5256237145, 'qualifierId': 141, 'value': '42.5'}, {'id': 5256237147, 'qualifierId': 212, 'value': '13.3'}, {'id': 5256237141, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256237149, 'qualifierId': 213, 'value': '1.31'}, {'id': 5256237143, 'qualifierId': 140, 'value': '37.6'}];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;;imexd1x47p0kt9dpkw6qg9hw;Pass;;;;;;;;;;1,31;;13,3;37,6;42,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;37,6;42,5;;;;;;;0;0;0;4;Real Monarchs;4;DC;1,0
2728589939;6;1;1;0;6;5ou8b446l1sl8frblkz3xi17g;1;37,2;41,5;2024-09-30T01:04:50.052Z;2024-09-30T01:04:55Z;[{'id': 5256237381, 'qualifierId': 141, 'value': '20.3'}, {'id': 5256237385, 'qualifierId': 213, 'value': '4.60'}, {'id': 5256237377, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256237383, 'qualifierId': 212, 'value': '14.5'}, {'id': 5256237379, 'qualifierId': 140, 'value': '35.7'}];36nlk9spjf591wxuzvimi0eay;B. Taghvai-Najib;;;imexd1x47p0kt9dpkw6qg9hw;Pass;;;;;;;;;;4,6;;14,5;35,7;20,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;35,7;20,3;;;;;;;0;0;0;6;Real Monarchs;6;MC;1,0
2728589955;7;1;1;0;11;5ou8b446l1sl8frblkz3xi17g;1;36,6;17,0;2024-09-30T01:04:55.110Z;2024-09-30T01:04:57Z;[{'id': 5256237503, 'qualifierId': 141, 'value': '39.5'}, {'id': 5256237505, 'qualifierId': 212, 'value': '17.0'}, {'id': 5256237501, 'qualifierId': 140, 'value': '29.6'}, {'id': 5256237499, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256237507, 'qualifierId': 213, 'value': '2.02'}];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;;imexd1x47p0kt9dpkw6qg9hw;Pass;;;;;;;;;;2,02;;17,0;29,6;39,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;29,6;39,5;;;;;;;0;0;0;11;Real Monarchs;11;DC;1,0
2728590013;8;1;1;0;13;5ou8b446l1sl8frblkz3xi17g;1;31,8;39,2;2024-09-30T01:04:57.364Z;2024-09-30T01:05:03Z;[{'id': 5256237739, 'qualifierId': 140, 'value': '42.1'}, {'id': 5256237737, 'qualifierId': 56, 'value': 'Back'}, {'id': 5256237745, 'qualifierId': 213, 'value': '5.86'}, {'id': 5256237741, 'qualifierId': 141, 'value': '32.1'}, {'id': 5256237743, 'qualifierId': 212, 'value': '11.8'}];dv0qqd4mx117y4al165nsdic4;T. Clegg;;;imexd1x47p0kt9dpkw6qg9hw;Pass;;;;;;;;;;5,86;;11,8;42,1;32,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;42,1;32,1;;;;;;;0;0;0;13;Real Monarchs;13;DC;1,0
