field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;5rcj1mef6u2jbosy1urou0d7t;1;30;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;GK;L. Helleren;;;;;;
2;7mnh4dln104xhunf6u9f2546i;2;33;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;DR;C. Baker;;;;;;
2;3007iihmvmlzgpgtxri3v3hg4;3;96;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;DC;B. Bowen;;;;;;
3;ez0t0pl5qxy0sa3zp1l77sjro;4;37;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;MC;S. Brunell;;;;;;
2;e1e506479mqo8j3geie6amuj8;5;39;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;DL;S. Hawkins;;;;;;
2;e2t6sxwsa5ll4zvsxh96512zu;6;83;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;DC;E. Katsaros;;;;dil2b9u1omrsdbxba5swbe9gq;81,0;2,0
3;s9a51dj3nkad2e53b2jbgl5g;7;90;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;AMR;S. Gomez;;;;do5nsl65m35sog9vcp0j3kbh0;61,0;2,0
3;8khtu1w0lp1f5d5t4zmfxiei;8;77;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;MC;S. Kitahara;;;;;;
4;3y5rrahty1k0l1hnww3bcozmy;9;95;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;FW;O. De Rosario;;;;b0xuwec3m6rvxwx7gygv34o6i;61,0;2,0
3;5jal3zhkwodffivsq89wfd15g;10;80;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;AMC;C. Aquino;;;;9fbj8njpn0q6j87le4rnafjf8;61,0;2,0
3;chiwsyjdyk4sn4vxqu9mdr0x6;11;27;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;AML;Braudílio Rodrigues;;;;7zr3gif60ntltgt3s5yi6qjca;61,0;2,0
5;5f1j0xharn07q39c0ymwcdu6s;0;41;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;Sub;;;;;;;
5;dil2b9u1omrsdbxba5swbe9gq;0;35;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;Sub;A. Lopez;e2t6sxwsa5ll4zvsxh96512zu;81,0;2,0;;;
5;do5nsl65m35sog9vcp0j3kbh0;0;97;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;Sub;B. Fahling;s9a51dj3nkad2e53b2jbgl5g;61,0;2,0;;;
5;4s56s6f9nw96wergw7ix5zp0q;0;32;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;Sub;;;;;;;
5;7zr3gif60ntltgt3s5yi6qjca;0;31;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;Sub;T. Sousa;chiwsyjdyk4sn4vxqu9mdr0x6;61,0;2,0;;;
5;2iusvkm9t8r1widsfvbesnjf8;0;85;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;Sub;;;;;;;
5;9fbj8njpn0q6j87le4rnafjf8;0;36;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;Sub;Y. Tsukanome;5jal3zhkwodffivsq89wfd15g;61,0;2,0;;;
5;b0xuwec3m6rvxwx7gygv34o6i;0;81;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;Sub;G. Miglietti;3y5rrahty1k0l1hnww3bcozmy;61,0;2,0;;;
5;809wpocve7kf4vpdn7wd84v3e;0;21;8;5icuo8utnztpsd9l03gdd68dl;izykc7ihtrvh0g05mbqm75lg;home;1;Sub;;;;;;;
1;e81zc97bmfjgwo978gplrx46i;1;1;4;7pmw399vh2v44cjle4fkklp1w;izykc7ihtrvh0g05mbqm75lg;away;1;GK;X. Valdez;;;;;;
2;2p2lvzr6lk92tevfvb5u6uiac;2;50;4;7pmw399vh2v44cjle4fkklp1w;izykc7ihtrvh0g05mbqm75lg;away;1;DR;D. Barrett;;;;48p3wcjai97tpt50ia7bi7ok4;93,0;2,0
2;2wj1w4opn7f0jyz1ps6ebvc6i;3;3;4;7pmw399vh2v44cjle4fkklp1w;izykc7ihtrvh0g05mbqm75lg;away;1;DC;K. Sargeant;;;;;;
