id;eventId;typeId;periodId;timeMin;timeSec;contestantId;outcome;x;y;timeStamp;lastModified;qualifier;playerId;playerName;keyPass;assist;matchId;type_displayName;value_Involved;value_Resume;value_TeamKit;value_TeamFormation;value_JerseyNumber;value_TeamPlayerFormation;value_PlayerPosition;value_Captain;value_DirectionOfPlay;value_Length;value_Zone;value_PassEndX;value_KickOff;value_Angle;value_PassEndY;value_Direct;value_ShirtPull/Holding;value_Foul;value_OppositeRelatedEventId;value_Offensive;value_Defensive;value_FreeKickTaken;value_LongBall;value_SwitchOfPlay;value_DeletedEventType;value_NextEventThrowIn;value_AttemptedTackle;value_Chipped;value_OutSwinger;value_Cross;value_RightFooted;value_Head;value_Assist;value_HeadPass;value_IntentionalAssist;value_BoxCentre;value_SetPiece;value_CloseRight;value_GkY;value_RelatedEventId;value_FirstTouch;value_GkX;value_GoalmouthY;value_Assisted;value_GoalmouthZ;value_NextEventGoalKick;value_NotVisible;value_GoalKick;value_Low;value_ThrowIn;value_LowGkIntervention;value_KeeperThrow;value_Launch;value_TouchTypePass;value_PlayersCaughtOffside;value_Indirect;value_LeftFooted;value_OutOfPlay;value_TouchTypeClearance;value_TakeOnSpace;value_BlockedPass;value_TakeOnOvertake;value_BlockedY;value_Blocked;value_BlockedX;value_SixYardBlocked;value_RegularPlay;value_NotAssisted;value_LowCentre;value_IndividualPlay;value_SmallBoxLeft;value_DefBlock;value_LowRight;value_HighRight;value_BoxLeft;value_TouchTypeControl;value_IntendedTackleTarget;value_OutOfBoxDeepRight;value_DrivenCross;value_Straight;value_MediumGkIntervention;value_GkHoof;value_OutOfBoxCentre;value_LowLeft;value_Stooping;value_Hands;value_Collected;value_RecklessOffence;value_YellowCard;value_Overrun;value_BoxRight;value_CloseLeftAndHigh;value_Shove/Push;value_TacticalFoul;value_ThroughBall;value_BigChance;value_CloseLeft;value_LayOff;value_Left;value_Right;value_CornerTaken;value_FromCorner;value_OtherObstacle;value_BallHitsReferee;value_LeadingToAttempt;value_High;value_RelatedError1Id;value_Injury;value_InjuredPlayerId;value_Minutes;value_HighLeft;value_HighGkIntervention;value_Standing;value_OverArm;value_EndType;value_Tactical;value_FormationSlot;value_PositionSideId;value_DetailedPositionId;value_InSwinger;value_ParriedSafe;value_ParriedDanger;value_OtherBodyPart;value_HitLeftPost;value_HitWoodwork;value_Diving;value_OutOfBoxDeepLeft;value_GkKickFromHands;value_GoalShotTimestamp;value_GkXTimeOfGoal;value_GkYTimeOfGoal;value_GoalShotGameClock;value_ThrowInSetPiece;value_BlockedCross;value_Deflection;value_FlickOn;value_GameEnd;value_PostMatchComplete;value_ChecksComplete/LiveCollectionChecksComplete;teamId;teamName;field;endX;endY;blockedX;blockedY;goalMouthY;goalMouthZ;relatedEventId;relatedPlayerId;is_penalty;isGoal;minute;second;oppositionTeamName;time_seconds;position;isFirstEleven
2732031041;1;34;16;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-10-06T19:17:25.188Z;2024-10-06T20:22:51Z;[{'id': 5275018233, 'qualifierId': 30, 'value': '7vhhtm49u9nzdpc9d60empxxw, 8qqehla9xvhut6uua4a0zcju2, 1keonaeqvrkqhbw9sjaaxsff8, 38z2cuwmbeanujqho9cqwozmy, dw8iyfupgsqkt8ogxssmtss4q, at9jab3qv8j4azup6qd5ggui2, 7pegcq6kh8s6naujxky714ys4, f1oc42nax0yel4gblge49py7e, 28kg6zbpgbb8zrnhidogpxi0a, 6kfmf44wdx1btf9mwqdmo36z8, 1p1ektnr3l7lj518cbs2dnmdw, 1ss7pdaxmlk0sijax5brwpkyy, 86piuxs9tep01rcbsp3t8vx90, a9w6952jyw6x83gxp94zs8ro4, etyqw24tl6zko0qarctyv6ane, am8ndwmm4m03ys6wkad29lst0, 45nz5h9qtf9bnucuxuh3b4qhg, 9j4bb1s2mxtk3d4vmtvv081lg, eh27y0usldxsj6ouf3pkvbg9g, aa5n9va0fkquh5xqfdgbijvv8'}, {'id': 5275018243, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5275239623, 'qualifierId': 197, 'value': '23808'}, {'id': 5275018239, 'qualifierId': 130, 'value': '8'}, {'id': 5275018237, 'qualifierId': 59, 'value': '51, 22, 99, 40, 34, 35, 80, 45, 47, 24, 57, 48, 55, 44, 42, 72, 90, 71, 75, 78'}, {'id': 5275018241, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5275018235, 'qualifierId': 44, 'value': '1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5275239621, 'qualifierId': 194, 'value': 'f1oc42nax0yel4gblge49py7e'}];;;;;jf6t9swqofjo6c9vi7qfm49g;Team set up;;;23808,0;8,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;0;0;0;0;Portland Timbers II;0;;
2732032321;1;34;16;0;0;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-10-06T19:18:42.059Z;2024-10-06T20:22:15Z;[{'id': 5275024875, 'qualifierId': 227, 'value': '0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5275024871, 'qualifierId': 131, 'value': '1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0'}, {'id': 5275024869, 'qualifierId': 130, 'value': '13'}, {'id': 5275024861, 'qualifierId': 44, 'value': '1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5'}, {'id': 5275024865, 'qualifierId': 59, 'value': '36, 80, 45, 48, 39, 40, 46, 42, 47, 87, 37, 70, 38, 51, 96, 77, 84, 71, 65, 73'}, {'id': 5275024859, 'qualifierId': 30, 'value': 'c2tmm1kt6qyna4650kfy4bpm2, 5nykil6w1bxfevpp2c5rr32fo, a89drfd4adts1cbtqa77l1boq, d1xlw5bza316m39f9n82hir1m, dv0qqd4mx117y4al165nsdic4, 33l8nq6xbj3pm1lkxo2qs5vfu, druwx3n136woly4objqgk7tp0, 3f5g2kijev81v9nzwsyxwiiju, 5lwarg9t4o7hxcq5exe8gwydw, 6zolwstla33ppx84k1o2v8rv8, 5gvvjvj3aw75jrxcmajcx2b6c, 7t8o8pe93me2pef74vw21nr6y, 36nlk9spjf591wxuzvimi0eay, a5tjyddv4t8eg9wcum3o15qfo, 4wr32d93f1q1v8qjq2ywmnbze, 8p8xhni028mqjv6kz6fdz850q, c88etxtac9g49m3usj08lm1hw, 9f9da7iwrsdys8h2083ajcys4, bg306by2ig93xe53km8nma49g, 4758p8wg8z76pxjncaewx8mqc'}, {'id': 5275239107, 'qualifierId': 194, 'value': 'c2tmm1kt6qyna4650kfy4bpm2'}, {'id': 5275239109, 'qualifierId': 197, 'value': '23617'}];;;;;jf6t9swqofjo6c9vi7qfm49g;Team set up;;;23617,0;13,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;0;0;Colorado Rapids II;0;;
2732075311;2;32;1;0;0;iiolvosiuokkrl5iuoxcjo4p;1;0,0;0,0;2024-10-06T20:11:48.422Z;2024-10-10T06:07:41Z;[{'id': 5275257701, 'qualifierId': 127, 'value': 'Right to Left'}];;;;;jf6t9swqofjo6c9vi7qfm49g;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;iiolvosiuokkrl5iuoxcjo4p;Colorado Rapids II;home;;;;;;;;;0;0;0;0;Portland Timbers II;0;;
2732075305;2;32;1;0;0;5ou8b446l1sl8frblkz3xi17g;1;0,0;0,0;2024-10-06T20:11:48.422Z;2024-10-06T20:11:48Z;[{'id': 5275257669, 'qualifierId': 127, 'value': 'Left to Right'}];;;;;jf6t9swqofjo6c9vi7qfm49g;Start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;0;0;Colorado Rapids II;0;;
2732075371;3;1;1;0;0;5ou8b446l1sl8frblkz3xi17g;1;50,0;50,0;2024-10-06T20:11:48.423Z;2024-10-06T20:11:53Z;[{'id': 5275258043, 'qualifierId': 212, 'value': '24.3'}, {'id': 5275258037, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275258039, 'qualifierId': 140, 'value': '27.1'}, {'id': 5275258047, 'qualifierId': 279, 'value': 'S'}, {'id': 5275258045, 'qualifierId': 213, 'value': '3.00'}, {'id': 5275258041, 'qualifierId': 141, 'value': '55.1'}];5gvvjvj3aw75jrxcmajcx2b6c;N. Santos;;;jf6t9swqofjo6c9vi7qfm49g;Pass;;;;;;;;;;24,3;;27,1;;3,0;55,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;27,1;55,1;;;;;;;0;0;0;0;Colorado Rapids II;0;FWL;1,0
2732075381;4;1;1;0;5;5ou8b446l1sl8frblkz3xi17g;1;27,2;55,1;2024-10-06T20:11:53.844Z;2024-10-10T06:09:44Z;[{'id': 5275258105, 'qualifierId': 141, 'value': '35.2'}, {'id': 5275258101, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275258103, 'qualifierId': 140, 'value': '27.4'}, {'id': 5275258109, 'qualifierId': 213, 'value': '4.73'}, {'id': 5275258107, 'qualifierId': 212, 'value': '13.5'}];dv0qqd4mx117y4al165nsdic4;T. Clegg;;;jf6t9swqofjo6c9vi7qfm49g;Pass;;;;;;;;;;13,5;;27,4;;4,73;35,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;27,4;35,2;;;;;;;0;0;0;5;Colorado Rapids II;5;DC;1,0
2732075407;5;1;1;0;7;5ou8b446l1sl8frblkz3xi17g;1;27,4;35,2;2024-10-06T20:11:55.604Z;2024-10-10T06:09:48Z;[{'id': 5275258255, 'qualifierId': 141, 'value': '45.7'}, {'id': 5275258251, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275258257, 'qualifierId': 212, 'value': '8.9'}, {'id': 5275258259, 'qualifierId': 213, 'value': '0.94'}, {'id': 5275258253, 'qualifierId': 140, 'value': '32.4'}];33l8nq6xbj3pm1lkxo2qs5vfu;K. Ferdinand;;;jf6t9swqofjo6c9vi7qfm49g;Pass;;;;;;;;;;8,9;;32,4;;0,94;45,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;32,4;45,7;;;;;;;0;0;0;7;Colorado Rapids II;7;DC;1,0
2732075439;6;1;1;0;9;5ou8b446l1sl8frblkz3xi17g;1;32,4;45,7;2024-10-06T20:11:57.619Z;2024-10-06T20:11:59Z;[{'id': 5275258447, 'qualifierId': 140, 'value': '22.8'}, {'id': 5275258449, 'qualifierId': 141, 'value': '64.2'}, {'id': 5275258451, 'qualifierId': 212, 'value': '16.1'}, {'id': 5275258453, 'qualifierId': 213, 'value': '2.25'}, {'id': 5275258445, 'qualifierId': 56, 'value': 'Back'}];3f5g2kijev81v9nzwsyxwiiju;A. Moreno;;;jf6t9swqofjo6c9vi7qfm49g;Pass;;;;;;;;;;16,1;;22,8;;2,25;64,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;22,8;64,2;;;;;;;0;0;0;9;Colorado Rapids II;9;MC;1,0
2732075545;7;1;1;0;11;5ou8b446l1sl8frblkz3xi17g;1;22,7;65,1;2024-10-06T20:11:59.491Z;2024-10-10T06:10:03Z;[{'id': 5275259071, 'qualifierId': 212, 'value': '16.1'}, {'id': 5275259069, 'qualifierId': 141, 'value': '74.4'}, {'id': 5275259067, 'qualifierId': 140, 'value': '36.8'}, {'id': 5275259073, 'qualifierId': 213, 'value': '0.40'}, {'id': 5275259065, 'qualifierId': 56, 'value': 'Back'}];dv0qqd4mx117y4al165nsdic4;T. Clegg;;;jf6t9swqofjo6c9vi7qfm49g;Pass;;;;;;;;;;16,1;;36,8;;0,4;74,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;36,8;74,4;;;;;;;0;0;0;11;Colorado Rapids II;11;DC;1,0
2732075553;8;4;1;0;17;5ou8b446l1sl8frblkz3xi17g;1;39,0;56,7;2024-10-06T20:12:06.404Z;2024-10-06T20:24:11Z;[{'id': 5275259181, 'qualifierId': 152}, {'id': 5275259179, 'qualifierId': 56, 'value': 'Back'}, {'id': 5275259177, 'qualifierId': 295}, {'id': 5275259173, 'qualifierId': 13}, {'id': 5275259341, 'qualifierId': 233, 'value': '3'}, {'id': 5275259183, 'qualifierId': 286}];5gvvjvj3aw75jrxcmajcx2b6c;N. Santos;;;jf6t9swqofjo6c9vi7qfm49g;Foul;;;;;;;;;;;;;;;;1,0;1,0;1,0;3,0;1,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5ou8b446l1sl8frblkz3xi17g;Portland Timbers II;away;;;;;;;;;0;0;0;17;Colorado Rapids II;17;FWL;1,0
