field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;19igj31auu88fhwdpfz8c1coa;1;1;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;GK;O. Finnerty;;;;;;
2;4kng7wg83mastngy9hw7j6v6y;2;2;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;DR;N. Sessock;;;;;;
2;9hxomhr5g6zy05ei4z4lhrklw;3;13;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;DC;S. Basabe;;;;;;
3;7uj52qs9yf21gxixhrowyvswk;4;21;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;MC;D. Martinez;;;;;;
2;3x8f4j8q49d8hft60a6k8l5as;5;12;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;DL;T. Barton;;;;;;
2;6lsvk9o6d581sd33g38mr6904;6;3;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;DC;G. Ferraina;;;;;;
3;7ve3vmg19c3g91j7zs32oecd0;7;23;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;MC;R. Montenegro;;;;;;
3;bn5ic0uuxaupf6hs2tgqqq0b8;8;10;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;MC;S. Morales;;;;8l4bqb8gtyzqpx3pti200phqs;61,0;2,0
4;cliiemf1ih37qhh1wi1olk9ka;9;9;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;FW;R. Carmichael;;;;97q9pw2flp2acjx03za1yr7ro;78,0;2,0
4;9z7fz0c95ib7oniguzwbihs0k;10;22;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;FWR;A. Flores;;;;bd6zlzf3vkop84kscfco7yeqc;78,0;2,0
4;infc7r3a8oktbajwp4pff7dg;11;17;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;FWL;C. Abadia-Reda;;;;9owtf360wi6ky1cr4qwnnfk0k;65,0;2,0
5;c1fvknrf94i05q738d5r7vmdw;0;4;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;Sub;;;;;;;
5;55y26r9mz105vrqmnq739l62;0;11;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;Sub;;;;;;;
5;a12cqkgsa6ljy4jzctqmoror8;0;71;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;Sub;;;;;;;
5;3vssz1vq3p0tv1ks0hqrpxjis;0;36;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;Sub;;;;;;;
5;97q9pw2flp2acjx03za1yr7ro;0;39;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;Sub;M. Saja;cliiemf1ih37qhh1wi1olk9ka;78,0;2,0;;;
5;bd6zlzf3vkop84kscfco7yeqc;0;40;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;Sub;D. Pintér;9z7fz0c95ib7oniguzwbihs0k;78,0;2,0;;;
5;9owtf360wi6ky1cr4qwnnfk0k;0;85;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;Sub;I. Zeltzer-Zubida;infc7r3a8oktbajwp4pff7dg;65,0;2,0;;;
5;8l4bqb8gtyzqpx3pti200phqs;0;90;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;Sub;Y. Cohen;bn5ic0uuxaupf6hs2tgqqq0b8;61,0;2,0;;;
5;78837xw5xvx9xeystdzy6cc2c;0;18;4;c7c4wwva2u1vb3rr7rwava044;jsfono2kxucpdz0mkzlx3cb8;away;1;Sub;;;;;;;
