field_position;playerId;value_TeamPlayerFormation;shirtNo;value_TeamFormation;teamId;matchId;field;isFirstEleven;position;playerName;subbedOutPlayerId;subbedInExpandedMinute;subbedInPeriod_value;subbedInPlayerId;subbedOutExpandedMinute;subbedOutPeriod_value
1;6agfr3usj1pblrbq2i9mdpmcq;1;30;20;99l7fsj6ykgbyqcb9zqqu9dgq;n8rkuadg878890uutezqi32s;home;1;;M. Collodi;;;;;;
3;rtca480n5ehey5ffvt8nudck;2;27;20;99l7fsj6ykgbyqcb9zqqu9dgq;n8rkuadg878890uutezqi32s;home;1;;H. Endeley;;;;;;
3;9acojrco6dg2i9otq02gj6904;3;12;20;99l7fsj6ykgbyqcb9zqqu9dgq;n8rkuadg878890uutezqi32s;home;1;;T. Rose;;;;;;
2;9nl0k91lrjonu0z2irbs01oiy;4;24;20;99l7fsj6ykgbyqcb9zqqu9dgq;n8rkuadg878890uutezqi32s;home;1;;A. Korça;;;;;;
2;74rnjizxzn5a0oag6sue0ja7e;5;18;20;99l7fsj6ykgbyqcb9zqqu9dgq;n8rkuadg878890uutezqi32s;home;1;;C. Sainté;;;;7al9w77ailhli8g487tkl32tw;55,0;2,0
2;1j010cibh247p8kjchww6ny3u;6;5;20;99l7fsj6ykgbyqcb9zqqu9dgq;n8rkuadg878890uutezqi32s;home;1;;N. Gordon;;;;;;
3;32c9e26wcnr5kmab8ep4zph5g;7;50;20;99l7fsj6ykgbyqcb9zqqu9dgq;n8rkuadg878890uutezqi32s;home;1;;D. García;;;;;;
3;14sld3djevxpcce9co1aqxn9w;8;32;20;99l7fsj6ykgbyqcb9zqqu9dgq;n8rkuadg878890uutezqi32s;home;1;;N. Norris;;;;akgtib8zyv5lrvh9mxunj2rdg;55,0;2,0
4;19ckwd2oz9uyfjznuq2c41btg;9;41;20;99l7fsj6ykgbyqcb9zqqu9dgq;n8rkuadg878890uutezqi32s;home;1;;T. Scott;;;;fgue58g7u6f2c53ggb0r2oa2;61,0;2,0
4;6ggqe5gi2w2jjclmbjev6dd78;10;10;20;99l7fsj6ykgbyqcb9zqqu9dgq;n8rkuadg878890uutezqi32s;home;1;;Pedrinho;;;;8vnnownnzz2ksuuitbw3ax5yi;55,0;2,0
4;3h8rx5wumr7hktll4hnvx7or8;11;99;20;99l7fsj6ykgbyqcb9zqqu9dgq;n8rkuadg878890uutezqi32s;home;1;;E. Sali;;;;3risld5mac5ns2rrv6namc2l0;70,0;2,0
